Product_id,Category_id
1,74
1,108
2,34
2,134
2,131
3,88
3,35
4,161
4,46
5,147
5,62
6,52
6,150
6,184
7,17
7,87
8,76
9,167
9,100
10,186
10,159
11,127
11,28
11,198
12,26
13,181
13,117
13,196
14,120
14,68
14,20
15,192
15,3
16,27
17,76
18,38
18,139
18,50
19,53
19,88
19,78
20,165
21,24
21,156
22,70
22,37
23,113
23,91
23,62
24,29
25,124
25,18
26,200
27,34
28,196
29,163
29,56
30,16
31,192
32,61
32,100
33,197
33,55
34,31
34,160
34,29
35,160
35,153
35,164
36,168
37,142
37,9
38,86
38,137
38,46
39,154
39,37
39,119
40,77
41,81
41,176
42,127
42,114
43,57
43,29
43,48
44,87
45,153
45,40
46,22
46,102
46,77
47,116
47,58
47,140
48,59
49,98
50,118
50,21
51,64
51,46
51,83
52,69
52,4
52,97
53,1
54,89
54,31
54,130
55,3
55,199
56,141
56,170
57,143
57,170
58,91
58,2
59,197
59,17
59,79
60,40
61,134
62,37
62,11
63,25
64,55
64,39
64,33
65,185
65,21
66,83
66,193
67,197
67,149
67,79
68,127
68,179
69,43
69,56
70,146
70,139
70,83
71,29
72,140
72,35
72,38
73,111
73,77
73,175
74,172
74,42
74,48
75,56
76,200
76,199
77,3
77,98
78,176
79,108
80,106
80,188
81,96
81,10
81,69
82,19
83,111
83,158
83,81
84,5
84,24
85,86
86,21
86,186
86,6
87,178
87,98
87,17
88,72
89,134
89,92
90,44
90,48
91,62
91,13
91,165
92,164
92,91
92,76
93,43
94,124
95,133
95,93
96,45
96,192
96,61
97,72
97,28
97,62
98,169
99,58
100,123
101,43
102,59
103,77
104,43
104,34
104,121
105,82
106,76
107,138
107,57
108,171
109,46
109,68
110,146
111,74
111,124
112,181
112,162
112,98
113,13
113,113
113,120
114,27
114,3
114,112
115,72
115,172
116,95
116,21
116,11
117,117
118,130
119,56
119,13
120,9
120,145
120,98
121,36
121,139
121,198
122,164
122,14
123,200
123,30
124,172
125,156
125,41
125,193
126,45
126,3
126,8
127,114
127,110
128,25
128,166
129,175
129,22
129,86
130,164
131,141
131,159
132,66
132,190
133,14
133,170
133,156
134,32
135,116
135,84
135,52
136,159
136,60
137,145
137,134
137,180
138,193
139,53
140,58
140,81
140,14
141,195
142,138
142,172
143,175
143,148
144,27
144,2
145,152
146,86
146,138
146,24
147,26
148,75
149,192
150,99
150,135
150,12
151,49
152,5
153,93
154,137
155,118
156,55
156,72
156,50
157,71
157,149
157,72
158,82
158,142
158,80
159,84
159,41
159,65
160,50
160,100
160,4
161,21
161,94
161,107
162,167
162,116
162,100
163,98
164,171
165,65
165,175
165,136
166,9
166,56
167,177
167,67
168,199
169,124
169,23
170,67
171,128
172,54
172,4
173,104
173,190
173,111
174,115
174,7
175,190
176,124
176,71
176,115
177,127
178,159
178,81
178,13
179,11
180,165
181,97
182,142
182,22
182,140
183,16
183,160
184,42
184,67
185,44
186,27
186,198
186,15
187,70
188,55
189,33
189,15
189,200
190,97
190,59
191,143
191,146
191,18
192,17
193,96
193,158
194,194
194,178
195,44
195,177
195,58
196,192
196,1
196,144
197,195
198,118
198,28
199,100
200,2
201,91
201,78
201,195
202,12
202,81
202,17
203,29
203,37
203,18
204,152
204,27
205,67
205,72
206,135
206,20
207,62
207,123
207,36
208,193
208,65
208,150
209,30
210,182
211,100
212,69
213,162
213,129
214,34
214,136
215,175
215,106
216,115
216,162
217,27
217,191
218,94
218,27
219,115
220,139
220,166
220,42
221,23
221,8
221,134
222,171
222,197
223,16
224,187
225,169
226,80
226,86
226,143
227,33
227,2
227,81
228,96
228,133
229,67
229,125
230,138
231,158
232,54
232,24
232,84
233,191
233,66
233,9
234,69
235,13
236,102
236,115
237,41
238,188
238,114
239,68
239,3
239,77
240,138
240,105
241,182
241,189
242,170
242,182
242,85
243,58
243,146
244,76
244,156
245,56
246,50
247,132
247,144
248,98
248,154
249,182
249,125
249,102
250,83
251,85
252,63
253,83
253,107
254,77
254,163
254,30
255,179
256,32
256,54
256,58
257,139
258,41
259,78
260,155
260,129
261,92
262,25
262,61
263,96
264,88
265,127
265,183
265,22
266,156
267,141
268,87
268,39
268,178
269,88
269,29
270,117
271,11
271,119
271,84
272,146
272,150
272,99
273,193
273,74
273,128
274,121
274,48
275,177
275,147
275,141
276,199
276,179
276,102
277,49
277,124
277,198
278,118
279,189
279,153
280,171
280,75
280,155
281,67
281,93
281,125
282,104
283,136
283,100
284,57
284,145
284,168
285,186
286,48
287,54
287,163
288,113
289,22
289,137
290,8
290,139
290,133
291,42
291,65
292,141
292,63
292,192
293,25
294,117
295,71
295,193
296,192
297,138
298,193
298,172
298,72
299,151
299,157
300,98
300,127
301,134
301,3
301,143
302,79
302,84
303,157
304,143
304,109
304,118
305,147
305,115
305,86
306,50
306,99
306,80
307,104
308,128
308,149
308,130
309,19
309,166
309,68
310,65
311,182
312,70
313,88
313,55
314,175
314,149
315,157
316,92
317,68
317,114
318,185
319,135
319,61
320,145
320,182
320,178
321,6
321,89
322,49
322,176
323,136
323,155
324,185
325,6
325,193
325,26
326,106
326,77
327,153
327,26
328,145
329,43
329,144
329,126
330,143
330,122
330,27
331,166
331,65
332,169
333,79
334,47
334,45
335,62
335,36
336,169
336,52
337,71
338,100
338,120
339,55
339,114
340,129
341,96
341,71
342,54
343,64
343,33
343,184
344,155
344,58
344,60
345,72
346,88
346,37
347,90
348,90
348,133
349,82
349,152
350,199
351,87
352,86
352,78
353,196
353,23
353,133
354,144
354,11
355,173
356,31
356,11
357,90
358,113
359,30
359,143
360,96
360,68
360,182
361,82
361,1
362,145
362,101
362,131
363,182
363,140
363,127
364,162
364,168
365,144
365,85
365,44
366,186
366,53
366,178
367,116
367,100
367,82
368,144
368,149
369,69
369,154
369,144
370,149
370,150
371,165
372,180
373,89
374,63
374,25
375,75
375,185
376,40
377,174
377,110
378,197
379,71
380,62
380,90
380,159
381,28
381,138
382,55
382,185
382,176
383,188
383,73
383,14
384,14
384,67
385,124
386,191
387,159
388,45
389,113
390,91
390,90
391,175
391,3
392,171
393,188
393,139
394,145
394,167
394,51
395,183
395,161
396,164
396,36
397,55
397,49
397,199
398,27
399,49
399,26
400,185
400,12
401,116
402,81
403,78
403,174
404,110
404,134
404,180
405,132
406,63
406,25
406,178
407,128
408,160
408,189
409,199
410,125
410,178
410,26
411,189
411,145
411,112
412,178
412,75
412,140
413,89
413,28
413,99
414,49
414,198
414,27
415,180
416,106
416,102
416,26
417,128
417,66
418,136
419,75
420,69
420,164
420,11
421,164
421,18
422,12
423,41
423,180
423,102
424,68
424,103
425,168
426,120
426,108
427,71
428,104
428,158
428,11
429,190
429,70
429,126
430,142
431,161
432,189
432,48
432,96
433,82
434,199
434,171
434,142
435,190
435,88
436,41
437,45
438,5
439,118
439,168
439,7
440,127
440,38
441,30
441,146
441,148
442,74
442,88
442,195
443,93
444,153
445,159
445,191
445,137
446,87
446,145
447,50
447,144
447,40
448,72
449,45
449,169
449,190
450,178
451,37
452,131
452,194
452,99
453,140
454,88
455,187
456,195
456,14
456,147
457,24
458,4
459,139
460,28
461,48
462,116
462,86
462,62
463,132
463,41
464,79
465,76
465,121
466,152
466,16
467,129
467,131
468,198
468,124
468,178
469,75
469,62
469,174
470,198
470,36
471,37
471,8
471,105
472,32
473,84
473,133
474,135
475,192
475,65
475,33
476,10
476,115
476,134
477,21
477,107
477,42
478,101
478,122
478,169
479,57
479,161
480,125
480,173
481,87
482,98
483,193
483,167
484,162
485,99
485,185
485,159
486,112
486,172
486,125
487,35
487,16
488,166
488,143
489,149
489,55
490,177
490,67
490,9
491,127
491,117
492,59
492,83
492,95
493,154
493,131
493,49
494,38
494,154
494,72
495,9
495,17
495,188
496,167
496,11
496,182
497,189
497,90
498,37
498,147
498,141
499,62
500,104
500,199
500,192
501,115
501,85
501,64
502,162
502,94
502,43
503,163
504,66
504,92
504,198
505,61
506,179
507,22
508,155
509,69
509,47
509,149
510,14
510,152
511,164
511,87
511,36
512,24
512,97
512,147
513,185
513,49
514,151
514,90
515,93
515,65
516,14
516,19
517,101
517,12
518,81
518,61
519,156
519,126
519,153
520,181
520,13
520,153
521,169
521,12
521,162
522,159
523,112
524,141
524,11
525,160
526,175
526,137
527,96
527,129
528,200
528,110
529,195
529,59
529,50
530,32
530,188
530,91
531,110
531,61
532,61
532,24
533,127
534,62
534,197
534,94
535,83
535,111
535,3
536,43
536,79
537,67
537,170
537,94
538,186
538,179
538,87
539,16
540,167
540,9
541,91
542,110
542,24
542,121
543,87
543,113
544,67
544,69
545,182
546,185
546,72
546,68
547,41
547,75
548,156
548,145
549,60
549,32
549,166
550,149
550,164
550,182
551,51
551,65
552,190
552,104
552,115
553,168
553,176
554,158
554,22
555,3
555,96
556,49
556,174
557,196
558,113
559,37
560,181
560,106
561,76
562,28
562,91
562,107
563,137
563,32
563,194
564,34
564,32
565,83
565,87
566,62
566,141
567,122
567,188
567,50
568,173
569,71
570,61
571,117
571,171
572,156
573,96
573,141
573,9
574,123
575,160
575,168
576,26
576,169
576,124
577,186
578,60
579,143
580,197
580,178
581,60
582,1
582,145
582,72
583,122
583,180
583,142
584,132
584,109
585,99
586,168
586,51
586,176
587,123
588,150
589,196
589,34
589,43
590,195
590,67
590,69
591,161
591,111
591,95
592,43
592,59
593,41
593,169
593,58
594,16
595,8
595,172
596,185
596,45
596,199
597,43
597,64
598,157
599,38
600,182
600,13
601,22
601,105
601,48
602,173
603,65
603,8
603,62
604,82
604,153
604,80
605,85
606,91
607,41
608,104
608,3
609,46
609,31
609,11
610,142
610,29
610,163
611,133
612,197
612,130
613,5
613,197
614,123
614,55
615,79
616,112
617,44
617,126
617,143
618,32
618,30
619,190
619,24
619,62
620,92
621,83
621,43
621,134
622,169
622,147
622,115
623,65
623,45
624,150
624,108
624,125
625,38
626,81
626,79
627,116
628,181
628,193
628,39
629,157
630,129
630,108
631,65
631,32
631,53
632,59
632,108
633,81
633,44
633,166
634,113
635,22
635,110
635,187
636,131
636,67
637,194
637,61
637,129
638,116
639,175
640,21
640,115
641,53
642,35
642,130
642,138
643,176
644,140
644,129
645,155
646,109
647,67
648,68
648,6
649,88
650,180
651,16
651,84
652,122
653,106
653,29
654,161
654,174
654,158
655,8
655,147
655,200
656,181
656,49
657,175
657,78
658,198
658,117
659,97
659,36
660,161
661,22
661,191
661,99
662,30
663,133
663,193
664,75
664,71
665,153
665,119
665,14
666,124
667,118
667,142
667,22
668,53
668,170
669,48
670,63
671,12
672,68
672,22
673,18
674,110
674,182
675,160
675,98
675,135
676,21
676,27
677,28
677,33
678,103
679,57
679,194
680,162
680,182
680,18
681,108
681,135
682,163
683,139
683,128
683,6
684,23
684,163
685,63
685,34
685,5
686,91
686,156
686,13
687,4
688,34
688,114
688,67
689,93
689,16
690,134
690,1
690,121
691,112
691,92
692,126
692,135
693,133
694,8
694,172
695,8
696,145
697,153
698,50
699,130
699,13
700,83
700,118
700,31
701,42
701,157
702,130
702,196
702,103
703,97
703,158
703,182
704,156
705,63
705,123
705,186
706,117
707,184
707,167
708,93
708,153
709,125
710,151
710,2
711,115
711,101
711,63
712,24
712,143
712,86
713,161
713,45
713,32
714,78
714,142
715,107
715,99
716,119
716,180
717,12
717,127
718,44
718,62
718,189
719,148
720,52
720,141
721,152
721,164
722,153
722,197
722,13
723,4
723,16
724,56
724,111
724,106
725,41
726,99
726,200
726,30
727,50
727,19
728,77
728,130
728,40
729,192
729,97
730,29
730,45
730,67
731,140
732,196
733,128
733,119
734,90
734,83
734,66
735,195
735,146
736,200
737,10
737,95
738,40
738,159
739,197
739,168
740,166
740,179
741,117
741,91
741,98
