Users_idUser,Addresses_idAddresses
1,7010
2,3847
3,3473
3,8715
4,1883
5,1566
5,7987
6,6914
7,5229
7,4916
8,8990
9,1178
10,5519
10,5535
11,4033
11,3987
12,3601
12,5127
13,1583
14,889
15,936
16,3581
16,7697
17,7975
18,6116
18,8000
19,9152
19,5008
20,5067
20,4048
21,9062
21,5573
22,5422
22,7989
23,4507
24,7593
24,8176
25,2648
25,6189
26,6064
27,5393
27,4852
28,775
29,6651
30,5842
30,7562
31,9373
32,5338
32,1176
33,1460
34,2068
35,584
35,2238
36,5240
36,8148
37,3630
37,704
38,8672
39,9514
40,3636
40,1650
41,2864
42,4033
42,2762
43,5900
43,6030
44,9259
45,317
46,2180
46,3660
47,1717
47,1161
48,6052
48,2749
49,6735
49,5253
50,1633
51,5898
52,9776
52,6708
53,5379
53,3086
54,7473
55,9660
56,4757
57,2774
58,9329
58,5839
59,6842
60,828
60,4074
61,8438
62,6447
62,9526
63,9925
64,6412
64,4620
65,7555
65,6962
66,2019
67,763
68,6056
69,7304
70,2234
71,6779
72,9801
73,1316
74,5803
75,432
75,4647
76,1409
77,8321
77,481
78,161
79,4333
80,3742
81,481
81,8600
82,2157
82,3642
83,7564
83,3359
84,7095
84,8266
85,2449
85,8091
86,9790
87,7503
87,6373
88,4281
89,3580
89,3584
90,8588
91,2893
92,2323
92,6571
93,784
93,7548
94,5893
95,8478
95,5277
96,8956
97,4681
98,6243
98,4108
99,1538
99,3862
100,9197
100,2331
101,6797
102,6587
102,1869
103,2665
104,2651
105,4869
105,8398
106,593
106,9619
107,2453
108,8647
109,9690
109,9813
110,4273
110,3085
111,4675
112,5382
112,4431
113,6481
114,3548
114,5501
115,1544
116,9600
116,3622
117,7081
118,6807
118,1528
119,3132
119,4584
120,8985
121,1591
122,8360
123,8866
124,2509
125,2502
125,7487
126,6335
126,4763
127,3096
128,8640
129,7828
130,9358
131,1754
131,4879
132,2888
132,4922
133,5636
133,5505
134,6671
135,8484
135,5130
136,3933
136,2145
137,7984
137,1605
138,9501
139,9292
139,9645
140,7681
141,5558
141,1408
142,9765
143,4650
143,6920
144,2177
144,7021
145,1737
146,9180
146,3091
147,6932
148,6353
148,9196
149,1043
149,5120
150,7708
151,9744
152,4442
152,8024
153,9145
153,842
154,7268
155,3233
155,4956
156,8118
157,4002
157,7440
158,3096
159,9213
160,747
161,4279
162,2198
163,3487
164,8754
164,7867
165,1944
166,9153
167,772
167,22
168,6269
169,4791
169,4039
170,6637
171,968
172,9663
173,1138
174,9909
175,567
175,4252
176,8573
177,4951
178,377
178,5559
179,1750
180,1338
181,7362
182,2253
183,2726
183,1213
184,2575
185,194
185,7538
186,3164
186,8981
187,9605
188,8298
188,7235
189,1749
190,7442
191,1485
191,5793
192,3438
193,2876
193,8307
194,378
194,5872
195,7116
195,657
196,4389
196,8776
197,6128
197,4846
198,7203
198,900
199,4620
200,8729
200,5194
201,8667
202,1378
202,7811
203,5698
204,995
204,7661
205,5169
205,2005
206,643
206,117
207,3275
208,5212
209,6113
209,8433
210,1667
211,89
212,8464
213,4389
214,2073
214,7990
215,2553
216,6594
217,9424
218,6897
218,8719
219,9267
219,1401
220,8380
221,348
222,7308
223,3153
224,8002
224,6075
225,898
226,58
227,1209
227,8503
228,3271
229,5015
230,1813
230,1517
231,1754
231,7732
232,6245
233,5735
233,6742
234,3099
235,7411
235,5460
236,9791
236,6546
237,6493
237,102
238,2898
238,39
239,5553
239,3424
240,4568
241,4882
242,1731
243,8654
243,9141
244,2961
244,8602
245,6048
245,8054
246,5062
246,9553
247,5353
248,4445
249,7737
250,8428
251,2846
251,4644
252,9906
252,5891
253,3605
253,590
254,3745
255,4274
256,5707
257,2857
257,3374
258,4361
258,5875
259,8979
259,6714
260,1619
260,4024
261,9508
262,6202
263,7394
264,1986
265,1307
266,8270
267,9897
268,7321
268,6977
269,3059
270,8798
271,430
271,9480
272,6336
273,294
274,7571
274,3709
275,4910
276,5151
277,2763
277,4743
278,6969
278,34
279,2272
280,8907
280,6015
281,5082
281,113
282,6471
282,5646
283,6561
284,8094
285,1876
285,9364
286,7378
286,883
287,1586
288,3680
288,851
289,7688
290,5802
290,569
291,7895
292,1238
293,1110
293,5118
294,1718
295,5030
295,8558
296,7499
296,4648
297,4753
297,8145
298,2547
299,7293
299,7451
300,1552
301,8301
301,2415
302,4964
302,5809
303,3591
303,3516
304,8231
304,8876
305,4494
306,5598
306,9555
307,7312
307,9895
308,2190
309,2212
309,9157
310,7107
310,8038
311,8485
312,4930
313,3766
314,6123
315,372
316,3051
316,7943
317,7860
318,1254
318,2869
319,6132
320,8941
320,3102
321,1967
321,6104
322,7276
323,8935
324,9513
324,1624
325,8400
325,5420
326,9356
326,4087
327,395
328,5983
328,172
329,3790
329,5851
330,8592
330,2127
331,1403
332,4581
332,4618
333,1519
333,2678
334,2788
334,9344
335,6645
336,7591
337,8545
338,7436
338,3756
339,7430
339,940
340,5670
341,6224
342,5335
343,3758
344,431
345,2634
346,4533
346,2621
347,241
348,5506
349,7493
349,4937
350,5914
350,5407
351,5950
351,7496
352,4212
353,279
354,5060
354,4119
355,3955
356,7311
357,949
357,6524
358,3114
359,5594
359,2675
360,1182
360,5994
361,26
362,5355
363,680
364,8904
364,9775
365,5894
365,610
366,7403
366,675
367,3583
367,3699
368,2082
368,5475
369,2238
369,7919
370,4866
371,3550
371,8769
372,8411
372,5061
373,419
374,4897
375,9566
375,4150
376,3222
377,2430
377,1724
378,6952
379,880
379,7215
380,8878
381,3693
381,7282
382,563
382,1886
383,4267
384,9272
384,2770
385,6987
385,9946
386,7639
387,5745
388,2654
388,851
389,1556
389,929
390,4882
390,3972
391,4960
392,3155
393,5456
393,3109
394,2571
394,8453
395,4644
396,6758
397,4953
398,484
399,7257
400,1812
401,4014
401,7829
402,6811
403,3465
404,2140
404,6716
405,991
406,8333
406,8075
407,6141
407,9077
408,7353
409,6278
409,6510
410,7084
410,5766
411,3010
412,5672
412,6691
413,4405
413,3367
414,5378
415,7225
416,2764
416,4691
417,6936
418,9363
418,8842
419,6502
419,2045
420,2953
420,1545
421,8080
421,347
422,9435
423,3557
424,1556
424,5869
425,1556
426,2298
427,318
427,7626
428,7042
428,245
429,4080
430,1077
431,366
431,6523
432,2695
433,4379
433,5280
434,94
435,3189
435,2372
436,8548
436,6111
437,5361
437,9229
438,5698
438,5578
439,9222
439,8287
440,4590
440,7650
441,7136
442,7626
442,8421
443,8981
443,2230
444,9944
445,7186
446,6569
446,6415
447,2504
447,1645
448,6802
449,7969
449,9222
450,2955
450,3860
451,7303
451,4434
452,916
452,4311
453,4096
454,9452
455,2041
455,2094
456,3516
457,4319
458,1700
458,8930
