Order_id,Product_id,Quantity
1,1646,1
2,261,5
2,6029,2
2,9448,1
3,3855,1
3,7778,2
3,9842,3
3,3119,4
4,5714,5
4,430,5
4,7773,3
5,2261,5
5,5524,5
5,2286,1
5,5159,4
6,6687,4
6,3991,4
6,7290,2
6,4043,4
6,8259,1
7,1009,3
7,3865,3
7,4409,5
7,9309,3
7,3288,4
8,7451,5
8,9328,4
9,3432,3
9,9466,2
10,8479,5
10,7107,4
11,778,4
12,5561,5
12,6643,1
12,9624,4
12,3561,3
13,8711,2
14,8780,3
15,5495,2
16,6387,2
16,9084,3
16,3697,1
16,8784,5
17,5424,3
17,4536,1
18,6798,3
18,3517,2
18,7751,1
18,7567,5
19,2477,2
19,5099,2
19,4984,3
19,4677,5
19,4483,5
20,4048,3
20,3743,5
20,2492,5
20,9572,1
21,3366,2
21,4265,3
22,6772,1
22,4706,3
22,2211,2
22,3768,4
22,749,5
23,6147,3
23,7531,5
23,7278,5
23,4779,1
24,331,1
24,6221,3
24,484,2
24,2749,5
24,2534,5
25,7556,5
26,4548,4
26,8991,1
27,2764,4
28,9955,4
29,7597,4
29,9045,5
29,2562,1
30,6665,5
31,6463,3
32,1603,2
32,6814,5
32,5463,3
33,8107,4
33,8733,5
33,8947,2
34,2947,4
34,6917,4
34,1306,1
34,9648,2
34,1147,5
35,8448,1
35,3989,5
36,7826,4
37,8873,3
37,2350,4
37,756,2
37,6028,1
37,6380,5
38,9100,3
39,9689,4
39,6964,3
40,332,1
40,7461,5
40,501,5
40,9575,5
40,336,3
41,5305,4
42,7058,4
42,9790,4
43,2891,4
44,4141,4
44,6225,1
45,7568,5
45,5744,3
45,7693,4
45,3430,5
46,5913,2
46,841,3
47,9386,1
47,4425,5
48,975,4
48,5521,1
48,8235,2
49,8334,5
50,6580,1
50,1717,4
50,8791,1
50,6870,4
51,8258,5
51,3829,3
51,472,3
52,3592,5
53,5180,1
53,5156,2
53,8282,5
53,6740,4
54,6087,2
54,7582,2
54,8144,1
54,9052,1
55,9550,1
55,7448,4
56,2511,5
56,8208,2
57,7890,1
57,6434,5
57,3838,2
57,1882,2
58,9309,3
59,7232,5
60,687,2
60,6217,2
60,7527,2
61,1765,3
61,136,5
61,1932,5
62,1980,2
62,9196,1
62,9211,5
62,8157,1
63,3874,2
64,4435,5
64,5214,1
64,2730,5
65,9434,5
65,7479,1
65,8847,3
65,4760,5
66,2462,1
66,1259,3
67,9226,3
67,2022,3
67,9124,5
68,6117,2
68,7602,1
68,3840,3
68,8843,4
68,7106,5
69,7751,2
69,58,2
70,5629,2
70,8373,1
70,3721,2
70,1453,3
70,8013,2
71,230,5
71,4620,5
71,4456,2
71,5651,4
71,9887,4
72,3518,1
72,7405,2
72,9281,3
72,8908,4
72,6487,2
73,5957,3
73,949,2
73,6880,1
73,2665,1
74,8500,2
74,1270,5
74,7617,1
74,4728,3
75,8309,1
75,6161,1
75,287,3
76,7367,5
77,1744,3
77,6673,5
77,3332,2
77,7914,1
78,9432,1
79,4330,4
79,9252,2
79,7688,4
79,2992,3
80,3137,5
80,5610,4
81,7789,5
82,4611,4
83,5568,4
83,5407,3
83,9339,1
84,6300,2
84,4552,4
84,9609,3
85,350,3
85,2961,3
85,1623,1
85,9894,1
86,274,3
86,9315,2
86,8378,3
86,8377,2
86,1653,2
87,692,4
88,8324,1
88,9574,1
88,8775,1
89,4934,5
89,2762,2
89,5742,3
89,6912,3
90,2463,2
90,9603,4
90,3247,4
90,5568,3
91,1218,4
91,9741,2
91,7234,3
91,1710,4
91,5027,5
92,5369,2
92,6998,5
92,217,4
92,576,1
93,7676,3
94,5242,2
94,8525,1
94,9436,4
94,6668,1
94,3942,1
95,9414,1
95,8984,5
95,6038,3
95,6464,2
95,3062,4
96,8083,5
96,4483,1
96,3804,3
97,2014,5
97,2656,3
97,4938,2
97,7738,2
98,6724,2
98,4216,2
98,1156,5
98,4434,2
99,8,4
99,8131,4
99,4808,1
100,9800,4
100,1637,5
100,2531,3
100,1471,2
101,9512,4
101,6408,5
102,4489,4
102,1836,4
102,1891,4
103,2295,3
103,5494,3
103,1294,5
103,3255,4
103,8216,2
104,8860,2
104,8875,1
104,3801,2
104,7525,4
105,3489,4
105,3893,2
105,9526,2
105,9421,2
105,770,2
106,5047,1
106,2624,1
106,9691,1
106,9190,3
106,8467,4
107,7103,4
107,2808,2
107,1207,3
107,4757,5
107,6739,4
108,4023,2
108,9527,3
108,305,1
109,4727,4
109,9513,5
109,4023,2
110,356,5
111,8471,4
112,3904,5
112,293,1
112,3993,5
113,9954,1
114,2067,1
114,3488,1
114,3748,2
114,250,3
115,4705,2
116,2640,3
116,7605,3
117,6101,4
117,6618,5
118,2886,4
118,2975,2
118,9283,4
118,7405,1
119,4632,4
119,4483,3
119,3980,3
119,2322,1
119,1789,3
120,7575,4
120,9227,2
120,6956,4
121,5124,1
121,1239,5
121,8388,2
121,8443,5
122,5012,4
122,1861,2
122,3494,3
123,3486,5
123,2101,1
124,9074,4
124,8700,2
124,7876,2
125,3384,5
125,5133,1
126,9173,1
127,789,1
127,5086,5
127,4744,5
127,448,3
128,2843,5
128,5114,4
128,6108,4
128,8180,5
128,2945,2
129,8240,1
129,1713,4
129,7533,1
130,8259,1
130,7011,4
130,7484,3
130,4691,2
131,1689,2
132,2423,2
133,6564,1
133,1518,1
134,5080,2
134,4431,3
135,6308,3
135,1606,1
135,3250,5
135,1787,2
135,899,3
136,3771,4
136,6676,4
136,6446,5
136,1491,5
136,213,3
137,4333,1
137,6932,4
137,6118,1
138,9915,1
139,7946,3
139,3431,3
139,6181,1
139,3559,3
140,1984,4
140,6473,4
141,6700,4
141,1666,5
141,5589,1
142,4140,1
142,3279,1
143,6414,1
143,9414,1
143,4517,2
143,4799,4
143,9135,4
144,6732,2
144,6806,3
145,7710,3
145,9093,1
145,3852,5
146,5409,1
147,2353,5
147,5533,2
147,8812,4
147,6670,3
147,8334,5
148,3922,1
148,282,4
148,7090,1
148,7023,3
149,6743,5
149,3286,2
150,4918,1
150,2647,5
150,5458,5
151,2075,4
151,4069,1
152,5061,5
153,3209,5
153,2474,3
153,5904,3
153,1464,5
154,3446,4
154,2339,3
154,5406,1
155,1297,5
155,5289,1
155,4177,2
155,5373,3
156,7304,4
156,6104,5
156,3206,2
156,9275,1
156,5300,5
157,8442,4
158,1933,2
158,351,1
158,6464,2
158,1873,4
158,7457,4
159,4567,1
159,3331,2
160,8204,3
160,6100,2
160,7145,1
161,5015,5
161,9954,3
161,2395,5
161,2505,4
161,563,4
162,5532,2
162,9064,1
162,7702,4
163,6735,4
164,3165,2
164,1517,1
165,9328,4
165,3644,1
165,2402,4
165,4688,1
165,533,2
166,2560,5
166,9246,5
167,5434,3
167,1144,1
167,4779,3
167,4837,3
167,9288,2
168,143,4
168,1450,5
168,9125,3
168,4792,1
169,1679,5
169,86,2
169,3171,5
169,3778,5
170,5479,3
170,6854,5
170,6741,4
170,6006,1
171,6653,3
171,6507,3
171,3090,4
171,713,3
172,6544,2
172,7796,1
172,4195,1
173,4481,3
174,8837,2
174,3276,4
174,4562,4
175,2383,3
175,4316,2
175,183,5
175,2663,3
175,266,3
176,6335,3
176,2961,1
176,7716,5
177,9874,1
177,4760,4
177,9392,3
178,1889,4
178,1460,3
178,1124,5
178,5522,3
179,491,4
179,1353,1
179,924,4
180,2026,2
180,1564,5
180,121,5
180,1167,4
180,4141,3
181,5753,5
181,3547,2
181,459,4
181,5161,4
181,5366,1
182,5403,3
182,4659,4
183,5352,1
183,9147,3
183,9096,1
183,3197,5
183,5730,4
184,2536,2
185,3350,1
186,895,4
186,6829,2
