idOrder,Users_id,Status,Create_Date,Paid_Date,Price_Total,Currency,Address_id
1,7303,paid,2017-12-09 05:45:29,2017-12-15 02:35:29,4821.51,EUR,2238
2,7052,created,2002-09-12 22:59:33,,4296.17,EUR,4545
3,7411,created,2021-03-14 15:25:06,,703.67,EUR,6730
4,4325,created,2007-11-09 03:31:40,,1272.45,EUR,7281
5,3581,created,2019-10-27 21:04:21,,1259.14,EUR,3704
6,9577,paid,2025-08-31 18:42:21,2025-09-02 18:38:21,2412.43,EUR,8607
7,2463,created,2022-07-09 02:28:47,,2264.82,EUR,9544
8,8113,created,2019-09-29 16:50:46,,4330.28,EUR,643
9,9339,paid,2006-07-09 20:52:48,2006-07-13 17:18:48,4976.37,EUR,4580
10,6303,created,2020-02-24 11:46:04,,1501.41,EUR,5535
11,5813,paid,2022-09-28 05:15:13,2022-10-05 00:46:13,3235.30,EUR,7706
12,9102,shipped,2010-08-28 23:38:12,2010-09-03 20:56:12,4609.13,EUR,7345
13,3481,created,2019-12-23 03:37:48,,4952.32,EUR,6748
14,9740,paid,2005-09-15 21:15:43,2005-09-21 08:35:43,338.72,EUR,8498
15,5107,paid,2026-10-18 08:23:32,2026-10-22 17:18:32,3559.95,EUR,3225
16,9678,created,2006-06-22 17:51:03,,2577.37,EUR,7010
17,2199,shipped,2009-08-01 09:46:15,2009-08-04 21:45:15,2247.22,EUR,761
18,9781,paid,2018-04-18 20:07:06,2018-04-22 04:12:06,2039.93,EUR,7183
19,723,shipped,2002-10-19 14:39:56,2002-10-23 22:35:56,3980.79,EUR,6422
20,4364,shipped,2026-07-09 05:32:03,2026-07-14 17:22:03,850.75,EUR,7663
21,938,created,2015-09-29 14:17:19,,2250.32,EUR,3719
22,426,paid,2022-04-29 20:40:07,2022-05-01 23:14:07,3795.92,EUR,1447
23,798,created,2020-11-08 05:01:54,,1082.99,EUR,7353
24,7441,created,2006-06-21 18:12:39,,4975.28,EUR,475
25,354,created,2006-11-14 22:39:13,,3039.34,EUR,7729
26,9570,paid,2014-05-07 18:33:40,2014-05-13 05:57:40,605.92,EUR,6082
27,3776,paid,2026-05-21 15:26:26,2026-05-23 18:39:26,177.53,EUR,5239
28,3441,shipped,2023-01-30 15:07:35,2023-02-05 21:27:35,1957.63,EUR,3582
29,5761,paid,2003-11-24 12:51:30,2003-11-26 11:25:30,3961.39,EUR,8118
30,5953,created,2014-11-02 18:53:39,,1602.81,EUR,1028
31,2029,created,2018-02-27 13:49:51,,4146.23,EUR,6636
32,2238,shipped,2004-04-15 16:27:47,2004-04-17 16:41:47,3653.31,EUR,4671
33,9946,shipped,2009-02-09 18:46:19,2009-02-10 10:11:19,829.78,EUR,9319
34,8957,created,2014-03-09 05:10:22,,1819.05,EUR,3981
35,5838,cancelled,2009-08-12 00:33:39,,3163.07,EUR,9581
36,1692,shipped,2019-05-25 02:19:30,2019-05-30 15:24:30,426.76,EUR,8252
37,624,shipped,2025-12-25 08:24:35,2025-12-28 23:19:35,4096.27,EUR,487
38,2446,created,2020-09-04 18:42:18,,1282.80,EUR,2808
39,2937,created,2012-09-17 04:20:15,,1411.30,EUR,7003
40,3576,created,2026-01-29 13:11:50,,956.89,EUR,1900
41,8444,created,2005-11-10 08:22:23,,1944.97,EUR,351
42,8689,shipped,2005-08-26 04:27:36,2005-08-30 03:04:36,1089.92,EUR,5530
