Product_id,Category_id
1,5
1,15
1,6
2,1
2,11
3,14
3,1
4,5
5,15
5,12
5,14
6,5
6,14
7,10
8,14
8,15
8,7
9,1
9,7
9,8
10,15
11,10
12,6
13,7
13,14
13,4
14,7
15,7
15,2
15,13
16,12
16,3
17,14
17,5
18,15
19,10
19,7
19,9
20,10
21,10
21,14
21,8
22,7
22,4
23,4
24,15
25,9
25,8
25,1
26,9
26,7
26,13
27,1
28,11
28,5
28,6
29,5
29,6
29,13
30,14
30,1
30,12
31,7
32,6
32,12
32,8
33,2
33,3
33,11
34,13
35,5
35,2
36,5
37,11
38,12
38,4
38,15
39,15
39,7
40,2
40,11
40,15
41,12
42,1
43,1
44,13
45,6
45,12
45,10
46,9
47,2
47,4
48,7
48,9
49,15
50,14
50,6
50,12
51,12
51,2
51,9
52,8
52,15
53,1
54,14
54,8
54,1
55,6
55,5
56,4
56,9
56,3
57,2
58,13
59,2
59,8
59,4
60,7
60,11
60,14
61,13
61,3
61,2
62,13
63,10
64,10
64,15
65,3
65,9
65,10
66,13
67,11
68,7
68,10
69,12
69,3
69,9
70,9
70,15
71,2
71,4
72,13
72,14
72,12
73,1
73,11
74,11
74,13
75,11
75,14
76,12
76,6
76,10
77,1
77,14
78,7
78,3
78,15
79,5
79,6
79,15
80,14
80,7
80,12
81,14
81,5
82,15
83,14
83,10
83,2
84,8
84,12
84,11
85,9
85,15
86,1
86,12
87,11
87,15
87,2
88,10
88,15
88,2
89,1
90,13
91,6
92,7
92,6
93,12
93,15
94,9
95,14
96,4
96,3
96,14
97,8
98,12
98,13
99,15
99,5
100,12
100,1
101,10
102,6
102,3
102,13
103,9
104,12
105,12
106,11
107,15
108,13
109,10
109,3
110,5
111,4
111,12
111,5
112,15
113,1
113,5
113,15
114,13
115,6
115,1
116,2
116,3
116,12
117,3
118,3
118,14
119,3
119,9
120,14
120,7
121,11
121,4
122,12
123,11
124,8
124,14
124,15
125,2
126,10
126,13
127,1
127,9
128,2
128,9
128,15
129,9
129,8
129,4
130,15
130,7
131,9
132,10
132,2
132,3
133,14
133,12
134,1
135,4
135,1
136,12
136,15
137,15
138,8
138,2
139,8
140,13
140,14
141,1
141,7
141,15
142,6
142,7
142,8
143,10
143,7
143,12
144,1
145,13
145,2
145,7
146,9
146,3
146,14
147,12
147,9
148,4
148,6
148,5
149,7
149,8
149,14
150,3
150,14
150,5
151,1
151,3
152,15
152,1
152,3
153,12
154,12
155,3
156,2
156,15
156,12
157,2
158,14
158,15
159,10
160,14
160,13
161,6
161,7
162,1
162,14
163,10
164,5
164,3
164,8
165,4
166,1
167,3
168,4
168,13
168,9
169,11
169,4
169,9
170,13
170,3
171,13
171,15
171,3
172,14
172,11
172,8
173,1
173,12
174,9
174,3
174,8
175,6
175,5
