Users_idUser,Addresses_idAddresses
1,212
2,4951
2,6371
3,2084
3,8491
4,2413
4,3221
5,5277
5,5966
6,1585
7,9162
7,969
8,4888
8,2358
9,4522
9,357
10,1509
11,9997
12,8243
13,6093
14,4652
14,5530
15,2075
16,1103
16,9679
17,2241
17,3910
18,8900
18,5925
19,5957
20,5355
21,8421
22,3337
22,5198
23,6798
24,4995
25,1813
25,1481
26,7010
27,3847
28,3473
28,8715
29,1883
30,1566
30,7987
31,6914
32,5229
32,4916
33,8990
34,1178
35,5519
35,5535
36,4033
36,3987
37,3601
37,5127
38,1583
39,889
40,936
41,3581
41,7697
42,7975
43,6116
43,8000
44,9152
44,5008
45,5067
45,4048
46,9062
46,5573
47,5422
47,7989
48,4507
49,7593
49,8176
50,2648
50,6189
51,6064
52,5393
52,4852
53,775
54,6651
55,5842
55,7562
56,9373
57,5338
57,1176
58,1460
59,2068
60,584
60,2238
61,5240
61,8148
62,3630
62,704
63,8672
64,9514
65,3636
65,1650
66,2864
67,4033
67,2762
68,5900
68,6030
69,9259
70,317
71,2180
71,3660
72,1717
72,1161
73,6052
73,2749
74,6735
74,5253
75,1633
76,5898
77,9776
77,6708
78,5379
78,3086
79,7473
80,9660
81,4757
82,2774
83,9329
83,5839
84,6842
85,828
85,4074
86,8438
87,6447
87,9526
88,9925
89,6412
89,4620
90,7555
90,6962
91,2019
92,763
93,6056
94,7304
95,2234
96,6779
97,9801
98,1316
99,5803
100,432
100,4647
101,1409
102,8321
102,481
103,161
104,4333
105,3742
106,481
106,8600
107,2157
107,3642
108,7564
108,3359
109,7095
109,8266
110,2449
110,8091
111,9790
112,7503
112,6373
113,4281
114,3580
114,3584
115,8588
116,2893
117,2323
117,6571
118,784
118,7548
119,5893
120,8478
120,5277
121,8956
122,4681
123,6243
123,4108
124,1538
124,3862
125,9197
125,2331
126,6797
127,6587
127,1869
128,2665
129,2651
130,4869
130,8398
131,593
131,9619
132,2453
133,8647
134,9690
134,9813
135,4273
135,3085
136,4675
137,5382
137,4431
138,6481
139,3548
139,5501
140,1544
141,9600
141,3622
142,7081
143,6807
143,1528
144,3132
144,4584
145,8985
146,1591
147,8360
148,8866
149,2509
150,2502
150,7487
151,6335
151,4763
152,3096
153,8640
154,7828
155,9358
156,1754
156,4879
157,2888
157,4922
158,5636
158,5505
159,6671
160,8484
160,5130
161,3933
161,2145
162,7984
162,1605
163,9501
164,9292
164,9645
165,7681
166,5558
166,1408
167,9765
168,4650
168,6920
169,2177
169,7021
170,1737
171,9180
171,3091
172,6932
173,6353
173,9196
174,1043
174,5120
175,7708
176,9744
177,4442
177,8024
178,9145
178,842
179,7268
180,3233
180,4956
181,8118
182,4002
182,7440
183,3096
184,9213
185,747
186,4279
187,2198
188,3487
189,8754
189,7867
190,1944
191,9153
192,772
192,22
193,6269
194,4791
194,4039
195,6637
196,968
197,9663
198,1138
199,9909
200,567
200,4252
201,8573
202,4951
203,377
203,5559
204,1750
205,1338
206,7362
207,2253
208,2726
208,1213
209,2575
210,194
210,7538
211,3164
211,8981
212,9605
213,8298
213,7235
214,1749
215,7442
216,1485
216,5793
217,3438
218,2876
218,8307
219,378
219,5872
220,7116
220,657
221,4389
221,8776
222,6128
222,4846
223,7203
223,900
224,4620
225,8729
225,5194
226,8667
227,1378
227,7811
228,5698
229,995
229,7661
230,5169
230,2005
231,643
231,117
232,3275
233,5212
234,6113
234,8433
235,1667
236,89
237,8464
238,4389
239,2073
239,7990
240,2553
241,6594
242,9424
243,6897
243,8719
244,9267
244,1401
245,8380
246,348
247,7308
248,3153
249,8002
249,6075
250,898
251,58
252,1209
252,8503
253,3271
254,5015
255,1813
255,1517
256,1754
256,7732
257,6245
258,5735
258,6742
259,3099
260,7411
260,5460
261,9791
261,6546
262,6493
262,102
263,2898
263,39
264,5553
264,3424
265,4568
266,4882
267,1731
268,8654
268,9141
269,2961
269,8602
270,6048
270,8054
271,5062
271,9553
272,5353
273,4445
274,7737
275,8428
276,2846
276,4644
277,9906
277,5891
278,3605
278,590
279,3745
280,4274
281,5707
282,2857
282,3374
283,4361
283,5875
284,8979
284,6714
285,1619
285,4024
286,9508
287,6202
288,7394
289,1986
290,1307
291,8270
292,9897
293,7321
293,6977
294,3059
295,8798
296,430
296,9480
297,6336
298,294
299,7571
299,3709
300,4910
301,5151
302,2763
302,4743
303,6969
303,34
304,2272
305,8907
305,6015
306,5082
306,113
307,6471
307,5646
308,6561
309,8094
310,1876
310,9364
311,7378
311,883
312,1586
313,3680
313,851
314,7688
315,5802
315,569
316,7895
317,1238
318,1110
318,5118
319,1718
320,5030
320,8558
321,7499
321,4648
322,4753
322,8145
323,2547
324,7293
324,7451
325,1552
326,8301
326,2415
327,4964
327,5809
328,3591
328,3516
329,8231
329,8876
330,4494
331,5598
331,9555
332,7312
332,9895
333,2190
334,2212
334,9157
335,7107
335,8038
336,8485
337,4930
338,3766
339,6123
340,372
341,3051
341,7943
342,7860
343,1254
343,2869
344,6132
345,8941
345,3102
346,1967
346,6104
347,7276
348,8935
349,9513
349,1624
350,8400
350,5420
351,9356
351,4087
352,395
353,5983
353,172
354,3790
354,5851
355,8592
355,2127
356,1403
357,4581
357,4618
358,1519
358,2678
359,2788
359,9344
360,6645
361,7591
362,8545
363,7436
363,3756
364,7430
364,940
365,5670
366,6224
367,5335
368,3758
369,431
370,2634
371,4533
371,2621
372,241
373,5506
374,7493
374,4937
375,5914
375,5407
376,5950
376,7496
377,4212
378,279
379,5060
379,4119
380,3955
381,7311
382,949
382,6524
383,3114
384,5594
384,2675
385,1182
385,5994
386,26
387,5355
388,680
389,8904
389,9775
390,5894
390,610
391,7403
391,675
392,3583
392,3699
393,2082
393,5475
394,2238
394,7919
395,4866
396,3550
396,8769
397,8411
397,5061
398,419
399,4897
400,9566
400,4150
401,3222
402,2430
402,1724
403,6952
404,880
404,7215
405,8878
406,3693
406,7282
407,563
407,1886
408,4267
409,9272
409,2770
410,6987
410,9946
411,7639
412,5745
413,2654
413,851
414,1556
414,929
415,4882
415,3972
416,4960
417,3155
418,5456
418,3109
419,2571
419,8453
420,4644
421,6758
422,4953
423,484
424,7257
425,1812
426,4014
426,7829
427,6811
428,3465
429,2140
429,6716
430,991
431,8333
431,8075
432,6141
432,9077
433,7353
434,6278
434,6510
435,7084
435,5766
436,3010
437,5672
437,6691
438,4405
438,3367
439,5378
440,7225
441,2764
441,4691
442,6936
443,9363
443,8842
444,6502
444,2045
445,2953
445,1545
446,8080
446,347
447,9435
448,3557
449,1556
449,5869
450,1556
451,2298
452,318
452,7626
453,7042
453,245
454,4080
455,1077
456,366
456,6523
457,2695
458,4379
458,5280
459,94
460,3189
460,2372
461,8548
461,6111
462,5361
462,9229
463,5698
463,5578
464,9222
464,8287
465,4590
465,7650
466,7136
467,7626
467,8421
468,8981
468,2230
469,9944
470,7186
471,6569
471,6415
472,2504
472,1645
473,6802
474,7969
474,9222
475,2955
475,3860
476,7303
476,4434
477,916
477,4311
478,4096
479,9452
480,2041
480,2094
481,3516
482,4319
483,1700
483,8930
484,2567
485,9851
486,757
487,3003
488,746
488,1572
489,9401
489,6782
490,607
491,7869
491,48
492,6528
492,3233
493,1981
493,5979
494,9413
494,8269
495,6064
495,979
496,2806
497,6960
498,5461
498,9787
499,2933
500,5050
500,6579
501,3800
502,5260
503,1140
503,7780
504,2141
505,6921
506,1100
506,3022
507,6757
507,2201
508,7568
508,2588
509,9557
509,5775
510,6382
510,8405
511,5128
511,3085
512,3514
513,224
514,2771
514,2303
515,6093
515,9569
516,3125
516,7372
517,2813
517,2578
518,7611
518,135
519,2379
519,2683
520,2976
520,3951
521,6042
522,5836
522,446
523,6600
524,3357
525,3122
525,7074
526,7494
527,3632
527,6248
528,2669
528,2753
529,160
529,2450
530,9049
530,3582
531,7889
531,5388
532,848
533,8147
533,6416
534,1291
534,6298
535,8659
536,9448
536,9359
537,8077
538,1056
538,8802
539,666
540,5112
541,1501
541,3269
542,4256
543,4389
543,9623
544,5481
544,9755
545,6693
546,1273
547,6455
548,9028
549,8153
550,1000
550,3196
551,9954
551,3820
552,1412
552,7610
553,4683
554,8994
554,3468
555,6268
555,8508
556,4885
557,7074
557,7377
558,7810
559,4626
559,5695
560,4763
560,6383
561,7679
561,2823
562,9106
562,4140
563,1394
563,1270
564,4824
565,9564
566,4569
566,3070
567,4486
568,6283
568,5088
569,766
569,9831
570,7949
570,7840
571,2808
571,7161
572,8969
573,2652
574,5929
574,9750
575,9257
575,1565
576,3295
576,9491
577,3644
578,8743
578,5595
579,1090
580,831
581,703
581,7077
582,2989
583,8678
584,4375
584,2265
585,2772
585,7911
586,1910
586,279
587,6582
588,4433
589,4111
590,1076
590,2454
591,6034
591,4896
592,1661
593,8613
594,2421
595,5987
596,8016
596,8884
597,9197
598,8123
598,8446
599,1967
599,6596
600,8941
601,3354
601,1898
602,6659
603,5760
603,4399
604,8602
604,6974
605,8520
606,8799
606,9541
607,1633
607,246
608,6310
609,917
609,8146
610,9686
610,3061
611,7194
612,2160
613,6323
614,5224
614,2571
615,534
615,4673
616,8545
617,2597
618,9103
619,7537
620,852
620,7654
621,5257
622,3491
622,5679
623,6309
623,4349
624,3504
624,409
625,2731
626,9559
627,3233
628,5921
628,9454
629,4984
629,8837
630,1797
631,2315
631,7677
632,2933
632,4978
633,8305
633,77
634,216
634,2729
635,8423
635,8586
636,7859
636,2837
637,718
638,7671
638,1581
639,5888
640,8364
640,3216
641,1094
641,9064
642,9813
643,8084
644,8851
645,3949
646,3962
647,6856
648,8518
649,2416
650,2198
650,5208
651,269
652,2756
653,9632
654,1472
654,9782
655,2317
655,932
656,7981
656,8265
657,7263
657,2433
658,2618
659,8259
660,158
660,6581
661,6601
662,3440
663,7328
664,3613
664,2509
665,4892
665,4972
666,6011
666,3051
667,3034
667,5847
668,7459
669,4938
669,9070
670,436
670,4881
671,2566
671,2937
672,3622
672,5751
673,8927
673,9004
674,2024
675,9132
675,7907
676,6007
676,1185
677,5017
677,3516
678,8704
678,9662
679,2403
680,4358
680,429
681,370
681,76
682,6352
683,8950
684,2401
684,8520
685,2850
685,622
686,4499
686,9140
687,8477
688,91
689,1367
689,5434
690,9204
691,3982
692,6223
692,6878
693,954
693,6647
694,6908
694,246
695,6214
696,1622
696,633
697,1594
698,5939
698,9627
699,1808
700,1266
700,6149
701,8052
702,3785
702,5498
703,1693
703,2501
704,9337
704,8340
705,3995
706,4696
707,8918
707,2156
708,8852
708,6877
709,8662
709,2099
710,9682
710,4975
711,3005
711,6396
712,906
712,1089
713,7799
713,3184
714,7280
715,1523
715,8491
716,81
717,3777
717,9150
718,8922
718,5211
719,1256
720,6672
721,6726
721,7239
722,5303
722,4468
723,1229
723,4713
724,4836
725,21
726,9923
726,299
727,3089
727,6384
728,6907
729,1177
729,159
730,1532
731,4051
732,892
732,3860
733,2030
734,7990
734,9561
735,6662
736,8867
737,418
738,3509
738,641
739,783
739,5389
740,8114
740,2170
741,4725
741,1464
742,3483
743,1194
744,1540
744,2696
745,2410
745,5331
746,6340
747,4576
747,9807
748,8143
748,3735
749,2821
749,2046
750,6479
751,5430
752,6160
753,4628
754,6058
755,4162
756,5482
757,878
757,6434
758,1840
759,2199
759,2105
760,9815
761,7264
761,6198
762,387
763,9647
764,4098
764,3099
765,1305
765,1412
766,2614
767,6653
767,7670
768,7697
768,8581
769,1400
769,3200
770,5620
771,7943
771,8005
772,418
772,4769
773,2881
773,2794
774,3453
774,2625
775,9751
775,9546
776,197
776,2444
777,2572
777,8352
778,23
779,8125
779,8026
780,1915
781,6280
781,5599
782,6265
782,8822
783,7018
783,1050
784,393
784,9022
785,5835
785,6488
786,7909
786,785
787,6476
788,1757
788,251
789,5375
789,5200
790,7266
790,4950
791,4131
791,4381
792,6107
792,2523
793,4272
793,9929
794,452
795,3024
795,7178
796,2373
797,6705
798,7266
798,6543
799,1063
799,6086
800,6574
801,8712
802,2290
803,8936
803,6824
804,7775
805,3436
805,1726
806,618
807,8867
808,7932
808,7392
809,1272
810,6491
810,32
811,9833
811,7901
812,2957
812,164
813,1572
813,3712
814,9608
814,8896
815,4284
816,1856
817,6490
817,4962
818,7339
819,3153
819,5198
820,1654
820,6965
821,833
822,8478
823,8051
823,3597
824,4903
824,7667
825,578
826,2910
826,1245
827,4269
828,6188
829,2458
830,6237
831,8680
832,9713
832,2860
833,8811
834,1183
835,9694
836,778
836,4784
837,149
838,3491
839,1880
839,8420
840,3477
840,1491
841,6422
841,6696
842,3151
843,6223
843,3595
844,9740
844,5375
845,7652
845,2993
846,5783
847,520
848,2391
848,2341
849,451
849,2060
850,1456
851,6462
852,8390
853,5878
854,3582
855,5754
855,4111
856,3338
857,2538
857,5419
858,2973
858,1431
859,7058
859,3253
860,1433
861,2727
861,2692
862,6905
863,6612
863,5520
864,9317
864,2815
865,557
865,5020
866,2590
866,3566
867,2045
867,2743
868,5429
869,6195
870,2979
870,8485
871,7977
871,7728
872,6711
873,1811
873,3457
874,6292
874,8591
875,4235
875,1292
876,1824
877,8163
877,486
878,687
878,896
879,2585
879,2973
880,8453
881,797
881,7754
882,9853
883,4256
883,4959
884,2088
885,1585
885,6759
886,6253
887,8154
887,4616
888,5348
889,7756
889,6357
890,8221
890,3638
891,2385
891,6093
892,4645
893,3324
893,9463
894,321
894,1001
895,2229
896,7450
896,5264
897,1583
898,2860
898,3929
899,7575
900,5211
901,5206
901,7466
902,1858
902,6946
903,5419
903,632
904,5393
905,2942
906,9055
907,6594
908,4150
909,137
909,3078
910,6873
911,8066
911,454
912,9761
912,9030
913,8985
914,6363
915,7059
915,3874
916,5465
917,9043
917,8936
918,9664
919,3859
919,2984
920,8056
920,4136
921,1344
922,1874
922,7570
923,3876
924,8481
924,402
925,3248
925,5162
926,4495
927,9190
928,8939
929,5439
930,1341
931,2514
932,3092
933,99
933,5294
934,1420
934,3255
935,8059
935,9950
936,2386
937,3630
937,8266
938,4005
939,2447
940,2444
941,9754
941,1587
942,3838
943,3722
944,2013
944,3730
945,9666
946,3095
947,6851
947,5051
948,6704
949,738
950,7379
951,5512
951,6655
952,9350
952,3765
953,5881
954,9114
955,1512
956,4297
956,6527
957,5330
957,121
958,4922
959,4971
960,3659
961,3854
961,6054
962,4801
963,5117
964,1930
964,4820
965,1762
966,9199
966,4033
967,5574
967,2716
968,3551
968,8880
969,6553
969,1469
970,9473
971,9488
972,7653
973,7042
974,3313
975,2391
976,604
976,4126
977,8144
978,572
978,3205
979,5662
980,4266
981,8507
982,2225
983,9738
984,9807
984,4458
985,7043
985,2301
986,2567
986,3896
987,5864
988,8648
988,2625
989,2806
989,1008
990,1243
990,7339
991,8870
992,4854
992,7107
993,1944
994,4532
994,9638
995,8980
996,745
997,3970
998,5023
999,6091
1000,4758
1000,9800
1001,9066
1001,557
1002,9331
1003,7368
1004,8787
1005,5157
1006,5814
1007,5194
1007,461
1008,3822
1008,3491
1009,5794
1009,264
1010,3029
1011,2788
1011,8776
1012,4892
1012,5192
1013,3808
1013,1773
1014,3263
1015,5568
1016,1104
1016,427
1017,1605
1018,2446
1018,6952
1019,265
1020,6721
1021,1689
1021,2321
1022,9406
1023,9025
1023,8338
1024,5035
1024,9085
1025,7267
1026,224
1027,1486
1028,1761
1029,156
1029,3928
1030,5630
1030,3498
1031,1751
1032,6709
1033,8594
1033,6665
1034,7082
1034,2888
1035,3171
1035,5421
1036,2729
1036,5595
1037,8751
1038,1710
1039,2875
1039,1333
1040,7795
1041,3635
1042,6675
1043,6631
1044,9181
1045,8948
1045,8421
1046,1628
1046,3475
1047,1247
1047,4484
1048,6488
1049,2381
1049,3751
1050,9032
1050,4963
1051,4420
1052,4115
1052,984
1053,7344
1053,7994
1054,3212
1055,4425
1055,8771
1056,8611
1057,7632
1057,9883
1058,8019
1059,55
1059,8768
1060,6774
1061,3548
1062,9378
1063,7254
1064,7881
1064,5077
1065,7918
1065,2282
1066,9031
1067,4424
1068,8884
1069,8296
1069,6544
1070,774
1071,7134
1072,3460
1073,2882
1073,8387
1074,9020
1075,2882
1076,6538
1076,1840
1077,7211
1077,5430
1078,3907
1079,4543
