idProduct_Category,Product_id,Category_id
1,1,5
2,1,15
3,1,6
4,2,1
5,2,11
6,3,14
7,3,1
8,4,5
9,5,15
10,5,12
11,5,14
12,6,5
13,6,14
14,7,10
15,8,14
16,8,15
17,8,7
18,9,1
19,9,7
20,9,8
21,10,15
22,11,10
23,12,6
24,13,7
25,13,14
26,13,4
27,14,7
28,15,7
29,15,2
30,15,13
31,16,12
32,16,3
33,17,14
34,17,5
35,18,15
36,19,10
37,19,7
38,19,9
39,20,10
40,21,10
41,21,14
42,21,8
43,22,7
44,22,4
45,23,4
46,24,15
47,25,9
48,25,8
49,25,1
50,26,9
51,26,7
52,26,13
53,27,1
54,28,11
55,28,5
56,28,6
57,29,5
58,29,6
59,29,13
60,30,14
61,30,1
62,30,12
63,31,7
64,32,6
65,32,12
66,32,8
67,33,2
68,33,3
69,33,11
70,34,13
71,35,5
72,35,2
73,36,5
74,37,11
75,38,12
76,38,4
77,38,15
78,39,15
79,39,7
80,40,2
81,40,11
82,40,15
83,41,12
84,42,1
85,43,1
86,44,13
87,45,6
88,45,12
89,45,10
90,46,9
91,47,2
92,47,4
93,48,7
94,48,9
95,49,15
96,50,14
97,50,6
98,50,12
99,51,12
100,51,2
101,51,9
102,52,8
103,52,15
104,53,1
105,54,14
106,54,8
107,54,1
108,55,6
109,55,5
110,56,4
111,56,9
112,56,3
113,57,2
114,58,13
115,59,2
116,59,8
117,59,4
118,60,7
119,60,11
120,60,14
121,61,13
122,61,3
123,61,2
124,62,13
125,63,10
126,64,10
127,64,15
128,65,3
129,65,9
130,65,10
131,66,13
132,67,11
133,68,7
134,68,10
135,69,12
136,69,3
137,69,9
138,70,9
139,70,15
140,71,2
141,71,4
142,72,13
143,72,14
144,72,12
145,73,1
146,73,11
147,74,11
148,74,13
149,75,11
150,75,14
151,76,12
152,76,6
153,76,10
154,77,1
155,77,14
156,78,7
157,78,3
158,78,15
159,79,5
160,79,6
161,79,15
162,80,14
163,80,7
164,80,12
165,81,14
166,81,5
167,82,15
168,83,14
169,83,10
170,83,2
171,84,8
172,84,12
173,84,11
174,85,9
175,85,15
176,86,1
177,86,12
178,87,11
179,87,15
180,87,2
181,88,10
182,88,15
183,88,2
184,89,1
185,90,13
186,91,6
187,92,7
188,92,6
189,93,12
190,93,15
191,94,9
192,95,14
193,96,4
194,96,3
195,96,14
196,97,8
197,98,12
198,98,13
199,99,15
200,99,5
201,100,12
202,100,1
203,101,10
204,102,6
205,102,3
206,102,13
207,103,9
208,104,12
209,105,12
210,106,11
211,107,15
212,108,13
213,109,10
214,109,3
215,110,5
216,111,4
217,111,12
218,111,5
219,112,15
220,113,1
221,113,5
222,113,15
223,114,13
224,115,6
225,115,1
226,116,2
227,116,3
228,116,12
229,117,3
230,118,3
231,118,14
232,119,3
233,119,9
234,120,14
235,120,7
236,121,11
237,121,4
238,122,12
239,123,11
240,124,8
241,124,14
242,124,15
243,125,2
244,126,10
245,126,13
246,127,1
247,127,9
248,128,2
249,128,9
250,128,15
251,129,9
252,129,8
253,129,4
254,130,15
255,130,7
256,131,9
257,132,10
258,132,2
259,132,3
260,133,14
261,133,12
262,134,1
263,135,4
264,135,1
265,136,12
266,136,15
267,137,15
268,138,8
269,138,2
270,139,8
271,140,13
272,140,14
273,141,1
274,141,7
275,141,15
276,142,6
277,142,7
278,142,8
279,143,10
280,143,7
281,143,12
282,144,1
283,145,13
284,145,2
285,145,7
286,146,9
287,146,3
288,146,14
289,147,12
290,147,9
291,148,4
292,148,6
293,148,5
294,149,7
295,149,8
296,149,14
297,150,3
298,150,14
299,150,5
300,151,1
301,151,3
302,152,15
303,152,1
304,152,3
305,153,12
306,154,12
307,155,3
308,156,2
309,156,15
310,156,12
311,157,2
312,158,14
313,158,15
314,159,10
315,160,14
316,160,13
317,161,6
318,161,7
319,162,1
320,162,14
321,163,10
322,164,5
323,164,3
324,164,8
325,165,4
326,166,1
327,167,3
328,168,4
329,168,13
330,168,9
331,169,11
332,169,4
333,169,9
334,170,13
335,170,3
336,171,13
337,171,15
338,171,3
339,172,14
340,172,11
341,172,8
342,173,1
343,173,12
344,174,9
345,174,3
346,174,8
347,175,6
348,175,5
349,176,11
350,176,13
351,177,7
352,177,2
353,177,5
354,178,11
355,178,10
356,179,10
357,179,15
358,180,1
359,180,4
360,181,11
361,181,9
362,182,10
363,182,15
364,183,13
365,183,8
366,184,11
367,185,8
368,185,3
369,186,1
370,187,1
371,188,10
372,188,3
373,188,1
374,189,11
375,189,7
376,189,13
377,190,9
378,190,8
379,190,10
380,191,7
381,191,3
382,191,8
383,192,4
384,192,11
385,193,1
386,194,2
387,194,5
388,195,9
389,195,12
390,195,7
391,196,14
392,197,4
393,198,5
394,198,2
395,199,1
396,200,8
397,200,1
398,201,13
399,201,9
400,202,1
401,202,10
402,202,2
403,203,14
404,203,15
405,203,13
406,204,7
407,205,14
408,206,11
409,206,9
410,207,3
411,207,2
412,208,5
413,208,7
414,208,6
415,209,9
416,210,10
417,210,13
418,210,2
419,211,8
420,211,4
421,212,13
422,212,9
423,212,14
424,213,3
425,213,13
426,214,14
427,214,6
428,214,3
429,215,1
430,215,6
431,215,9
432,216,11
433,217,8
434,218,12
435,218,15
436,219,13
437,220,12
438,221,12
439,221,1
440,221,8
441,222,9
442,222,13
443,222,15
444,223,5
445,224,3
446,225,2
447,226,3
448,226,2
449,226,8
450,227,14
451,227,12
452,228,14
453,228,2
454,229,10
455,230,1
456,231,11
457,231,4
458,231,2
459,232,3
460,232,12
461,232,13
462,233,8
463,234,2
464,234,14
465,234,4
466,235,8
467,235,7
468,235,4
469,236,14
470,237,4
471,237,13
472,237,11
473,238,4
474,238,8
475,238,15
476,239,12
477,240,1
478,241,14
479,242,6
480,242,3
481,243,2
482,243,14
483,243,6
484,244,11
485,244,9
486,244,2
487,245,6
488,246,8
489,247,1
490,248,10
491,248,7
492,249,5
493,250,1
494,251,10
495,251,15
496,251,3
497,252,3
498,252,9
499,252,12
500,253,1
501,254,8
502,255,1
503,256,6
504,256,8
505,257,4
506,257,11
507,258,8
508,259,13
509,259,15
510,259,2
511,260,8
512,261,3
513,261,12
514,262,10
515,263,1
516,263,11
517,263,15
518,264,2
519,264,9
520,264,5
521,265,7
522,266,10
523,267,1
524,268,9
525,268,14
526,269,7
527,269,10
528,270,12
529,271,10
530,271,11
531,271,4
532,272,10
533,272,2
534,273,12
535,274,3
536,275,3
537,275,12
538,275,6
539,276,7
540,276,10
541,276,2
542,277,13
543,277,10
544,278,9
545,279,2
546,279,1
547,280,14
548,280,4
549,280,15
550,281,7
551,281,11
552,282,2
553,282,8
554,283,9
555,283,14
556,284,2
557,285,6
558,285,13
559,286,6
560,286,7
561,286,11
562,287,14
563,287,12
564,287,5
565,288,15
566,289,5
567,290,15
568,290,12
569,290,2
570,291,4
571,291,3
572,291,10
573,292,1
574,292,6
575,293,9
576,293,10
577,293,11
578,294,9
579,295,7
580,295,10
581,296,4
582,296,11
583,296,1
584,297,1
585,298,15
586,299,9
587,300,9
588,300,15
589,300,5
590,301,1
591,302,5
592,303,12
593,303,3
594,304,11
595,305,13
596,305,8
597,305,12
598,306,1
599,307,12
600,307,9
601,307,2
602,308,15
603,308,2
604,308,14
605,309,3
606,310,15
607,310,8
608,310,5
609,311,12
610,312,3
611,312,12
612,313,7
613,314,12
614,315,9
615,316,11
616,316,3
617,317,7
618,317,2
619,318,1
620,319,11
621,320,4
622,321,4
623,321,15
624,322,2
625,323,2
626,323,14
627,324,6
628,324,4
629,324,5
630,325,11
631,326,1
632,326,13
633,327,11
634,327,8
635,327,7
636,328,9
637,329,12
638,330,7
639,331,10
640,331,5
641,332,13
642,332,2
643,332,12
644,333,13
645,333,3
646,334,6
647,334,10
648,334,12
649,335,11
650,336,8
651,336,1
652,336,13
653,337,15
654,337,14
655,337,1
656,338,10
657,338,7
658,339,6
659,340,11
660,340,8
661,340,12
662,341,3
663,341,14
664,341,10
665,342,14
666,343,4
667,343,13
668,343,11
669,344,8
670,345,1
671,346,5
672,347,7
673,347,4
674,348,3
675,348,5
676,348,9
677,349,4
678,349,5
679,350,11
680,350,13
681,350,3
682,351,12
683,351,6
684,351,11
685,352,9
686,352,12
687,353,11
688,353,3
689,353,12
690,354,14
691,354,12
692,354,7
693,355,13
694,355,15
695,356,4
696,357,5
697,357,7
698,358,1
699,358,6
700,358,12
701,359,3
702,359,1
703,359,10
704,360,7
705,360,14
706,360,10
707,361,10
708,361,3
709,362,5
710,362,4
711,363,14
712,363,2
713,363,13
714,364,13
715,365,15
716,365,7
717,366,14
718,366,7
719,366,5
720,367,12
721,367,8
722,368,10
723,368,9
724,369,9
725,370,6
726,370,5
727,370,4
728,371,10
729,371,2
730,372,8
731,373,4
732,373,13
733,373,14
734,374,14
735,374,6
736,374,4
737,375,13
738,375,9
739,376,10
740,377,14
741,378,7
742,379,13
743,379,5
744,380,2
745,381,11
746,381,7
747,381,10
748,382,8
749,383,8
750,384,1
751,384,14
752,385,11
753,385,13
754,385,6
755,386,15
756,386,5
757,387,4
758,387,15
759,388,1
760,388,13
761,389,13
762,390,8
763,390,1
764,390,3
765,391,9
766,391,12
767,392,9
768,393,13
769,393,2
770,393,12
771,394,6
772,395,3
773,396,7
774,396,8
775,396,14
776,397,14
777,398,3
778,399,14
779,399,3
780,399,13
781,400,2
782,400,1
783,400,13
784,401,13
785,402,9
786,402,15
787,403,8
788,403,12
789,403,10
790,404,3
791,405,15
792,405,8
793,406,15
794,406,14
795,406,4
796,407,14
797,407,13
798,408,11
799,409,12
800,410,9
801,411,8
802,412,10
803,412,15
804,412,4
805,413,4
806,413,3
807,413,1
808,414,13
809,415,6
810,415,1
811,415,2
812,416,11
813,416,1
814,416,9
815,417,10
816,417,2
817,418,12
818,419,1
819,419,11
820,420,8
821,420,12
822,421,14
823,422,9
824,423,12
825,423,11
826,423,6
827,424,8
828,424,4
829,424,11
830,425,14
831,426,4
832,426,7
833,427,5
834,428,6
835,428,5
836,428,3
837,429,14
838,429,6
839,429,2
840,430,13
841,431,7
842,431,11
843,431,2
844,432,12
845,433,13
846,434,13
847,435,7
848,435,2
849,436,10
850,436,9
851,436,7
852,437,15
853,438,14
854,438,13
855,439,7
856,440,12
857,441,9
858,442,5
859,442,1
860,442,3
861,443,13
862,443,8
863,443,5
864,444,5
865,444,8
866,445,14
867,446,12
868,447,6
869,447,8
870,448,3
871,448,7
872,449,12
873,450,4
874,451,13
875,451,14
876,451,6
877,452,12
878,452,7
879,453,7
880,454,12
881,455,1
882,456,2
883,457,10
884,457,5
885,457,13
886,458,15
887,459,14
888,459,7
889,460,12
890,460,3
891,461,12
892,461,5
893,461,2
894,462,10
895,463,11
896,464,3
897,464,10
898,465,6
899,465,1
900,466,14
901,467,1
902,467,15
903,468,2
904,468,10
905,468,13
906,469,11
907,469,12
908,470,9
909,470,10
910,470,11
911,471,3
912,471,9
913,472,11
914,472,1
915,472,15
916,473,12
917,474,15
918,474,6
919,474,13
920,475,10
921,475,2
922,475,11
923,476,3
924,477,3
925,477,4
926,477,6
927,478,1
928,478,15
929,478,8
930,479,8
931,479,12
932,479,15
933,480,10
934,480,14
935,480,3
936,481,13
937,482,4
938,483,3
939,484,15
940,485,13
941,486,1
942,487,3
943,488,4
944,489,3
945,490,5
946,491,8
947,492,14
948,493,15
949,493,6
950,494,3
951,494,4
952,494,8
953,495,9
954,496,14
955,497,4
956,497,2
957,497,3
958,498,4
959,499,15
960,499,3
961,500,3
962,501,13
963,502,13
964,502,2
965,503,4
966,504,9
967,504,14
968,504,7
969,505,10
970,506,9
971,506,8
972,506,13
973,507,13
974,507,14
975,508,8
976,509,15
977,509,14
978,510,2
979,510,8
980,510,6
981,511,9
982,512,9
983,512,10
984,513,13
985,513,7
986,513,9
987,514,4
988,514,5
989,514,11
990,515,1
991,516,4
992,517,11
993,517,2
994,518,15
995,518,7
996,519,15
997,519,5
998,520,11
999,520,3
1000,520,7
1001,521,8
1002,522,3
1003,522,11
1004,522,5
1005,523,8
1006,523,14
1007,524,4
1008,524,14
1009,524,8
1010,525,7
1011,525,11
1012,526,2
1013,527,4
1014,528,3
1015,528,10
1016,529,7
1017,530,12
1018,530,1
1019,531,1
1020,531,9
1021,532,9
1022,533,12
1023,533,6
1024,534,8
1025,535,6
1026,535,4
1027,535,9
1028,536,10
1029,537,10
1030,537,9
1031,537,13
1032,538,7
1033,538,4
1034,538,14
1035,539,10
1036,540,4
1037,541,7
1038,541,6
1039,541,1
1040,542,9
1041,543,2
1042,543,8
1043,544,11
1044,545,5
1045,546,10
1046,547,5
1047,547,1
1048,547,10
1049,548,8
1050,548,13
1051,548,6
1052,549,2
1053,550,14
1054,550,4
1055,551,7
1056,551,4
1057,551,9
1058,552,2
1059,552,12
1060,553,6
1061,553,12
1062,553,15
1063,554,6
1064,554,7
1065,555,5
1066,555,1
1067,556,7
1068,556,10
1069,557,15
1070,558,1
1071,558,10
1072,558,11
1073,559,2
1074,559,13
1075,560,7
1076,561,13
1077,561,5
1078,561,3
1079,562,7
1080,562,8
1081,562,3
1082,563,6
1083,564,2
1084,565,1
1085,565,3
1086,565,2
1087,566,11
1088,567,4
1089,567,11
1090,568,6
1091,569,7
1092,570,2
1093,570,1
1094,570,12
1095,571,6
1096,571,5
1097,572,7
1098,572,15
1099,573,5
1100,574,5
1101,574,3
1102,575,10
1103,575,1
1104,575,15
1105,576,9
1106,576,15
1107,577,4
1108,578,5
1109,579,4
1110,579,11
1111,579,14
1112,580,13
1113,581,1
1114,581,14
1115,582,14
1116,582,13
1117,582,12
1118,583,4
1119,584,14
1120,585,8
1121,585,6
1122,586,15
1123,587,9
1124,587,4
1125,588,10
1126,589,9
1127,589,1
1128,589,15
1129,590,13
1130,590,15
1131,590,8
1132,591,13
1133,592,12
1134,592,4
1135,592,1
1136,593,14
1137,593,15
1138,594,11
1139,594,9
1140,595,15
1141,595,9
1142,596,6
1143,596,15
1144,597,7
1145,598,11
1146,599,11
1147,599,14
1148,599,7
1149,600,15
1150,600,3
1151,600,10
1152,601,4
1153,602,13
1154,602,5
1155,603,14
1156,604,8
1157,605,7
1158,605,14
1159,606,9
1160,606,1
1161,606,12
1162,607,7
1163,607,10
1164,608,4
1165,608,1
1166,608,9
1167,609,13
1168,610,13
1169,610,5
1170,611,6
1171,611,13
1172,612,13
1173,613,12
1174,613,8
1175,613,4
1176,614,10
1177,614,14
1178,615,14
1179,615,5
1180,615,13
1181,616,9
1182,616,14
1183,616,15
1184,617,8
1185,617,2
1186,618,14
1187,619,8
1188,619,10
1189,619,14
1190,620,11
1191,620,2
1192,620,13
1193,621,1
1194,621,10
1195,621,5
1196,622,13
1197,622,3
1198,623,1
1199,624,12
1200,624,3
1201,624,14
1202,625,11
1203,625,8
1204,626,8
1205,627,2
1206,627,5
1207,628,12
1208,628,8
1209,629,11
1210,630,15
1211,630,9
1212,631,1
1213,632,2
1214,632,14
1215,633,7
1216,633,5
1217,633,13
1218,634,10
1219,634,11
1220,634,12
1221,635,12
1222,635,10
1223,636,11
1224,636,15
1225,636,8
1226,637,13
1227,637,10
1228,637,3
1229,638,6
1230,638,8
1231,639,8
1232,640,11
1233,640,6
1234,640,9
1235,641,15
1236,641,14
1237,642,11
1238,643,6
1239,644,13
1240,645,5
1241,646,2
1242,646,12
1243,647,3
1244,648,11
1245,648,1
1246,648,15
1247,649,12
1248,649,9
1249,650,9
1250,651,7
1251,651,8
1252,652,7
1253,653,8
1254,654,14
1255,654,9
1256,655,14
1257,656,6
1258,656,7
1259,657,12
1260,658,4
1261,659,12
1262,659,9
1263,659,5
1264,660,6
1265,660,11
1266,661,11
1267,662,1
1268,662,14
1269,663,12
1270,664,5
1271,665,13
1272,666,8
1273,666,15
1274,666,10
1275,667,1
1276,667,11
1277,667,12
1278,668,2
1279,668,4
1280,668,5
1281,669,7
1282,670,9
1283,671,9
1284,672,11
1285,672,6
1286,672,10
1287,673,1
1288,673,4
1289,673,15
1290,674,12
1291,675,9
1292,675,13
1293,676,6
1294,676,11
1295,677,12
1296,677,13
1297,678,11
1298,678,9
1299,678,7
1300,679,2
1301,679,12
1302,679,15
1303,680,14
1304,681,11
1305,681,10
1306,681,9
1307,682,4
1308,682,8
1309,682,9
1310,683,11
1311,684,2
1312,684,11
1313,685,12
1314,685,14
1315,685,9
1316,686,6
1317,686,11
1318,687,5
1319,687,15
1320,688,9
1321,689,11
1322,689,9
1323,689,5
1324,690,12
1325,691,1
1326,691,4
1327,692,13
1328,692,8
1329,692,4
1330,693,9
1331,693,10
1332,693,12
1333,694,7
1334,694,12
1335,694,5
1336,695,1
1337,695,7
1338,696,12
1339,696,13
1340,697,12
1341,698,12
1342,698,9
1343,698,7
1344,699,15
1345,700,8
1346,701,8
1347,701,12
1348,702,11
1349,703,4
1350,703,6
1351,704,14
1352,704,4
1353,704,8
1354,705,11
1355,705,3
1356,706,13
1357,706,4
1358,707,4
1359,707,5
1360,707,13
1361,708,8
1362,708,13
1363,709,10
1364,709,13
1365,710,12
1366,710,9
1367,710,13
1368,711,6
1369,711,3
1370,711,12
1371,712,7
1372,712,14
1373,712,1
1374,713,2
1375,713,8
1376,714,9
1377,714,8
1378,715,14
1379,715,15
1380,716,8
1381,716,6
1382,717,2
1383,717,13
1384,717,8
1385,718,8
1386,719,7
1387,719,5
1388,719,15
1389,720,2
1390,720,5
1391,721,3
1392,721,12
1393,722,12
1394,722,8
1395,723,3
1396,724,11
1397,725,14
1398,726,1
1399,726,2
1400,727,4
1401,728,10
1402,729,14
1403,729,13
1404,730,6
1405,730,7
1406,731,8
1407,731,5
1408,732,5
1409,733,4
1410,734,9
1411,735,9
1412,735,6
1413,735,5
1414,736,14
1415,736,11
1416,737,2
1417,738,15
1418,738,5
1419,739,13
1420,740,4
1421,740,5
1422,740,1
1423,741,6
1424,741,10
1425,742,15
1426,742,14
1427,742,5
1428,743,15
1429,743,12
1430,744,2
1431,745,11
1432,745,10
1433,745,9
1434,746,5
1435,746,2
1436,747,12
1437,747,8
1438,747,13
1439,748,11
1440,748,8
1441,749,15
1442,749,12
1443,749,2
1444,750,3
1445,751,8
1446,751,3
1447,752,11
1448,753,5
1449,754,3
1450,755,7
1451,756,6
1452,756,15
1453,757,9
1454,757,3
1455,758,6
1456,758,4
1457,759,9
1458,760,8
1459,760,6
1460,760,2
1461,761,12
1462,761,2
1463,761,9
1464,762,9
1465,762,15
1466,762,1
1467,763,15
1468,763,13
1469,764,10
1470,764,12
1471,765,11
1472,765,9
1473,766,5
1474,766,9
1475,766,7
1476,767,7
1477,767,1
1478,767,15
1479,768,12
1480,768,11
1481,768,3
