idOrder,Users_id,Status,Create_Date,Paid_Date,Price_Total,Currency,Address_id
1,1102,created,2000-04-08 10:48:48,,2572.85,EUR,8996
2,2681,created,2006-11-11 08:34:09,,282.66,EUR,778
3,8457,cancelled,2007-11-02 13:32:20,,4930.40,EUR,5993
4,3512,created,2011-08-05 09:05:32,,534.05,EUR,9040
5,1055,created,2019-12-03 22:06:53,,1349.24,EUR,8179
6,7813,created,2011-07-11 09:06:17,,4947.22,EUR,93
7,5271,created,2005-05-23 02:48:46,,3037.67,EUR,844
8,3792,created,2026-08-28 17:35:15,,385.03,EUR,1027
9,8011,created,2000-05-23 10:33:46,,4996.40,EUR,8424
10,2506,created,2014-08-24 22:03:21,,4325.75,EUR,6967
11,7688,created,2010-11-03 12:39:32,,4279.90,EUR,7263
12,7811,paid,2005-03-18 21:36:22,2005-03-22 03:09:22,1594.60,EUR,3702
13,2239,created,2018-04-23 16:46:54,,641.83,EUR,3656
14,223,created,2016-02-03 21:21:56,,4119.81,EUR,5212
15,7806,created,2009-03-07 03:44:33,,2012.40,EUR,998
16,8225,created,2006-12-28 10:35:19,,198.13,EUR,7560
17,7672,shipped,2010-11-08 10:04:07,2010-11-12 03:50:07,3729.13,EUR,5737
18,9082,created,2024-01-19 15:39:54,,407.83,EUR,4557
19,2268,paid,2008-09-14 07:54:09,2008-09-20 23:28:09,434.69,EUR,8403
20,3282,cancelled,2025-06-20 02:23:47,,2125.13,EUR,1546
21,3198,created,2001-08-25 22:41:24,,1451.36,EUR,2089
22,8890,created,2010-08-31 12:27:20,,1700.71,EUR,4537
23,4608,created,2003-03-10 21:50:54,,4487.99,EUR,2389
24,2997,paid,2017-08-01 05:16:16,2017-08-05 08:27:16,4235.54,EUR,9650
25,6733,shipped,2010-05-05 01:50:40,2010-05-06 21:51:40,3148.49,EUR,9292
26,8432,created,2019-01-08 10:53:05,,3290.95,EUR,5577
27,2163,created,2010-02-21 11:29:56,,4518.22,EUR,2697
28,5190,paid,2026-11-12 22:18:33,2026-11-14 18:18:33,1431.75,EUR,9866
29,9018,paid,2005-11-29 11:59:56,2005-11-29 16:15:56,3230.52,EUR,5127
30,5449,paid,2016-03-24 05:09:36,2016-03-27 20:02:36,4315.48,EUR,3232
31,4541,created,2014-11-08 20:46:55,,2651.01,EUR,8429
32,1199,created,2007-05-30 16:15:05,,2015.64,EUR,2445
33,2138,created,2019-04-23 10:43:13,,3060.84,EUR,5151
34,5146,created,2007-06-30 10:28:16,,2210.59,EUR,9428
35,4026,created,2015-02-08 01:48:03,,4644.38,EUR,9755
36,1667,paid,2007-12-17 09:32:59,2007-12-24 01:42:59,4499.85,EUR,3910
37,5405,shipped,2005-11-02 20:55:50,2005-11-07 23:19:50,2770.16,EUR,738
38,9295,created,2021-11-06 05:34:57,,557.20,EUR,3730
39,1912,shipped,2012-04-01 04:25:11,2012-04-05 00:43:11,1486.69,EUR,8967
40,9722,shipped,2013-02-11 06:16:04,2013-02-14 16:37:04,4425.44,EUR,793
41,6385,created,2024-05-30 20:31:23,,3693.67,EUR,7865
42,6532,paid,2006-10-29 02:08:00,2006-11-03 11:13:00,881.51,EUR,4073
43,5399,created,2009-09-30 08:38:44,,4248.16,EUR,4382
44,2145,created,2015-01-06 03:18:11,,3745.15,EUR,1227
45,1601,created,2013-04-13 20:37:10,,3088.91,EUR,2169
46,513,paid,2012-11-18 11:44:16,2012-11-20 15:52:16,2739.60,EUR,8341
47,5022,created,2004-05-14 17:24:10,,3443.22,EUR,6947
48,9455,created,2014-08-06 17:57:21,,1749.51,EUR,7847
49,8096,created,2026-05-29 06:01:33,,2374.88,EUR,3367
50,4946,created,2008-08-08 02:04:10,,3746.56,EUR,6997
51,8134,created,2026-05-18 05:28:32,,4474.34,EUR,4901
52,7339,shipped,2013-11-11 07:10:26,2013-11-13 19:22:26,3434.87,EUR,7364
53,4094,created,2020-05-27 05:07:37,,1391.39,EUR,7440
54,6862,paid,2020-08-23 11:41:18,2020-08-30 01:49:18,1132.77,EUR,9705
55,4506,created,2010-03-21 16:17:16,,4299.02,EUR,1816
56,6348,created,2007-07-06 21:21:22,,2505.75,EUR,7593
57,3327,shipped,2009-01-02 17:56:25,2009-01-09 08:03:25,497.94,EUR,1490
58,2511,created,2025-09-10 09:14:26,,1239.16,EUR,9174
59,9571,shipped,2000-09-17 03:37:43,2000-09-23 01:35:43,4344.02,EUR,6159
60,5045,created,2000-11-10 06:44:38,,3249.52,EUR,2079
61,3494,created,2015-10-10 03:04:42,,1398.22,EUR,7227
62,7950,paid,2008-12-11 14:00:01,2008-12-17 11:12:01,4011.40,EUR,7212
63,1281,shipped,2017-03-30 17:41:11,2017-04-03 08:26:11,3047.82,EUR,4584
64,1284,paid,2023-12-27 03:41:45,2023-12-27 08:39:45,2946.44,EUR,9448
65,552,created,2006-07-26 11:09:05,,252.49,EUR,7940
