idSeller,Name,Rating,Status,Register_Date
1,Seller_00001,4,active,2014-09-10
2,Seller_00002,2,active,2004-02-13
3,Seller_00003,1,active,2014-07-30
4,Seller_00004,3,active,2003-08-04
5,Seller_00005,5,active,2011-03-06
6,Seller_00006,4,active,2015-04-03
7,Seller_00007,2,active,2005-12-21
8,Seller_00008,2,active,2015-03-26
9,Seller_00009,5,active,2012-07-11
10,Seller_00010,1,active,2026-08-14
11,Seller_00011,0,active,2012-03-29
12,Seller_00012,0,active,2019-10-10
13,Seller_00013,4,active,2024-05-28
14,Seller_00014,4,active,2013-05-04
15,Seller_00015,2,active,2006-06-23
16,Seller_00016,1,blocked,2010-11-05
17,Seller_00017,4,active,2018-07-12
18,Seller_00018,4,active,2006-11-24
19,Seller_00019,2,active,2017-10-25
20,Seller_00020,0,active,2009-11-08
21,Seller_00021,0,active,2022-07-16
22,Seller_00022,1,active,2017-11-06
23,Seller_00023,0,active,2022-10-11
24,Seller_00024,4,active,2005-08-30
25,Seller_00025,4,active,2000-01-16
26,Seller_00026,2,active,2023-06-24
27,Seller_00027,0,active,2023-11-18
28,Seller_00028,2,active,2014-05-16
29,Seller_00029,1,active,2015-07-31
30,Seller_00030,3,active,2011-05-31
31,Seller_00031,0,active,2026-12-09
32,Seller_00032,4,blocked,2026-11-30
33,Seller_00033,3,active,2013-06-13
34,Seller_00034,4,active,2013-12-08
35,Seller_00035,0,active,2010-10-13
36,Seller_00036,4,active,2024-12-24
37,Seller_00037,4,active,2015-12-26
38,Seller_00038,0,active,2024-12-20
39,Seller_00039,3,active,2019-06-21
40,Seller_00040,0,active,2026-02-27
41,Seller_00041,3,active,2007-10-25
42,Seller_00042,5,active,2025-06-20
43,Seller_00043,2,active,2015-01-26
44,Seller_00044,1,active,2015-12-01
45,Seller_00045,0,active,2012-04-19
46,Seller_00046,4,active,2017-06-27
47,Seller_00047,1,active,2002-11-27
48,Seller_00048,2,active,2002-06-17
49,Seller_00049,2,active,2023-01-20
50,Seller_00050,4,active,2016-08-27
51,Seller_00051,2,active,2004-10-22
52,Seller_00052,0,active,2008-09-21
53,Seller_00053,1,active,2023-04-19
54,Seller_00054,4,active,2022-06-22
55,Seller_00055,3,active,2023-03-17
56,Seller_00056,0,active,2014-05-10
57,Seller_00057,3,active,2005-05-20
58,Seller_00058,4,active,2001-01-15
59,Seller_00059,4,active,2019-04-05
60,Seller_00060,3,active,2016-07-28
61,Seller_00061,1,active,2008-03-20
62,Seller_00062,0,active,2010-08-21
63,Seller_00063,3,active,2023-12-06
64,Seller_00064,0,active,2004-03-14
65,Seller_00065,2,active,2006-08-06
66,Seller_00066,5,active,2026-06-01
67,Seller_00067,2,active,2003-04-29
68,Seller_00068,0,active,2005-09-07
69,Seller_00069,4,blocked,2006-10-29
70,Seller_00070,2,active,2008-03-14
71,Seller_00071,4,active,2022-01-17
72,Seller_00072,0,active,2020-01-09
73,Seller_00073,5,active,2009-06-10
74,Seller_00074,4,active,2019-09-26
75,Seller_00075,0,active,2019-03-13
76,Seller_00076,5,active,2015-01-25
77,Seller_00077,0,active,2004-10-11
78,Seller_00078,4,active,2020-08-26
79,Seller_00079,4,active,2014-01-04
80,Seller_00080,0,active,2006-12-24
81,Seller_00081,0,active,2007-12-24
82,Seller_00082,4,blocked,2008-10-02
83,Seller_00083,0,active,2005-09-19
84,Seller_00084,3,active,2012-07-11
85,Seller_00085,5,active,2007-11-14
86,Seller_00086,5,active,2022-01-23
87,Seller_00087,0,active,2024-06-04
88,Seller_00088,3,active,2018-05-09
89,Seller_00089,1,active,2010-11-29
90,Seller_00090,3,active,2004-11-23
91,Seller_00091,5,active,2012-04-11
92,Seller_00092,0,active,2021-06-15
93,Seller_00093,5,active,2025-07-27
94,Seller_00094,0,active,2022-04-08
95,Seller_00095,4,active,2026-01-03
96,Seller_00096,3,active,2018-11-20
97,Seller_00097,4,active,2004-08-09
98,Seller_00098,4,active,2026-10-20
99,Seller_00099,0,active,2000-03-04
100,Seller_00100,5,active,2019-09-08
101,Seller_00101,1,active,2021-10-18
102,Seller_00102,0,active,2008-12-16
103,Seller_00103,2,active,2014-04-11
104,Seller_00104,4,active,2011-06-05
105,Seller_00105,4,active,2009-06-14
106,Seller_00106,0,active,2016-06-28
107,Seller_00107,0,active,2006-07-17
108,Seller_00108,4,active,2026-10-14
109,Seller_00109,1,active,2004-08-15
110,Seller_00110,3,active,2003-04-24
111,Seller_00111,3,active,2007-02-23
112,Seller_00112,3,active,2013-03-02
113,Seller_00113,1,active,2018-08-28
114,Seller_00114,3,active,2016-05-30
115,Seller_00115,1,active,2011-11-27
116,Seller_00116,0,active,2007-02-01
117,Seller_00117,5,active,2014-03-17
118,Seller_00118,5,active,2000-12-19
119,Seller_00119,3,active,2001-07-10
120,Seller_00120,4,active,2025-01-08
121,Seller_00121,2,active,2019-03-22
122,Seller_00122,1,active,2019-09-28
123,Seller_00123,0,active,2019-11-20
124,Seller_00124,3,active,2011-03-08
125,Seller_00125,0,active,2000-08-17
126,Seller_00126,2,active,2008-09-01
127,Seller_00127,5,active,2022-01-07
128,Seller_00128,3,active,2004-11-07
