db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
sqlite,load_data,__load_data__,2.385226699989289,0,0,0,0.0,nan,nan,nan,nan,0,5.44,5.44,0.02,0.02,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q10_top_sellers_qty,4.764439600054175,18,18,0,3.7779889160092046,514.6368000423536,1304.1362550517067,1845.263731059384,20.0,360,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q11_top_categories,4.764439600054175,18,18,0,3.7779889160092046,70.91289997333661,133.64204997196782,182.81352994963513,10.0,180,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q1_user_by_id,4.764439600054175,19,19,0,3.987877189120827,20.40030003990978,218.61169005278236,1096.8733780691405,1.0,19,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q2_all_users,4.764439600054175,19,19,0,3.987877189120827,938.9860000228509,1549.008330027571,2166.136385998689,10000.0,190000,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q3_user_by_login,4.764439600054175,18,18,0,3.7779889160092046,48.39695000555366,213.91440506558754,740.1832010550411,1.0,18,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q4_sellers_rating,4.764439600054175,18,18,0,3.7779889160092046,23.09520007111132,289.5139000727776,1208.1775799649745,100.0,1800,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q5_orders_offset,4.764439600054175,18,18,0,3.7779889160092046,28.889199951663613,418.50046506733327,1866.2606530275625,50.0,900,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q6_products_by_seller,4.764439600054175,18,18,0,3.7779889160092046,25.270549987908453,411.96281501906617,1869.832563012602,1.1666666666666667,21,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q7_products_join_sellers,4.764439600054175,18,18,0,3.7779889160092046,21.043049986474216,390.50388504401474,1863.6340570275167,1.1666666666666667,21,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q8_order_items_join_products,4.764439600054175,18,18,0,3.7779889160092046,20.717249950394034,222.97952999942802,854.9798259988877,2.7222222222222223,49,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q9_orders_items_products_by_user,4.764439600054175,18,18,0,3.7779889160092046,16.204049985390157,197.34828500659097,710.8638170186882,2.2777777777777777,41,101.87,102.14,1.005,1.19,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q1_user_by_id,1.9116033000173047,1000,1000,0,523.1210889785278,1.844500016886741,13.562420022208231,127.12701394687659,1.0,1000,98.17,98.17,0.18,0.18,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q2_all_users,43.83535170007963,1000,1000,0,22.812637773319917,404.10699998028576,511.63662992767047,718.1645569438052,10000.0,10000000,72.24368421052633,102.19,1.0305263157894737,1.05,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q3_user_by_login,2.0056745999027044,1000,1000,0,498.58536377162585,1.4941500267013907,8.762704947730517,85.3346069471369,1.0,1000,66.11,66.11,0.35,0.35,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q4_sellers_rating,1.9630341000156477,1000,1000,0,509.41550123455767,2.972699992824346,56.05542502598837,94.13219891604302,100.0,100000,96.01,96.01,0.18,0.18,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q5_orders_offset,1.9464696999639273,1000,1000,0,513.7506122075943,2.5731000350788236,19.901344995014345,124.06133394571316,50.0,50000,81.43,81.43,0.32,0.32,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q6_products_by_seller,1.9775815999601036,1000,1000,0,505.6681352719778,2.0370499696582556,19.22551998868584,91.35913804755451,1.026,1026,8.78,8.78,0.36,0.36,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q7_products_join_sellers,1.9723577999975532,1000,1000,0,507.00739997643456,1.8862500437535346,5.222974944626911,72.62457695905329,1.026,1026,33.16,33.16,0.38,0.38,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q8_order_items_join_products,2.000426899990998,1000,1000,0,499.8932977778393,1.9449999672360718,14.223460014909502,95.10972597286327,3.029,3029,59.62,59.62,0.69,0.69,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q9_orders_items_products_by_user,1.9828200000338256,1000,1000,0,504.3322137072153,1.7082500271499157,14.07918992917984,86.66010500629687,3.035,3035,51.67,51.67,1.05,1.05,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q10_top_sellers_qty,37.843291600001976,1000,1000,0,26.424762691624526,298.88125002617016,893.8148499815724,1188.5174680047185,20.0,20000,100.1225,104.83,0.6962499999999999,0.71,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q11_top_categories,4.066003500018269,1000,1000,0,245.94174599099753,10.922449990175664,93.79868500400335,114.46134794852061,10.0,10000,104.155,104.77,0.275,0.28,2147483648.0,0.0,0.0,0.0,0.0
