db,phase,metric_mode,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_metric_ms,avg_client_ms,avg_server_ms,avg_redis_exec_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,client,q10_top_sellers_qty,22.0176617000252,2,2,0,0.09083616722105013,21826.587450050283,21891.839835076826,21897.640047079185,21826.587450050283,21826.587450050283,21825.50535001792,21669.70094764838,20.0,40,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q11_top_categories,22.0176617000252,2,2,0,0.09083616722105013,15496.197100030258,15518.158180033788,15520.110276034102,15496.197100030258,15496.197100030258,15495.78300002031,15444.920702313539,10.0,20,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q1_user_by_id,22.0176617000252,2,2,0,0.09083616722105013,4.456549999304116,6.598595017567277,6.788999019190669,4.456549999304116,4.456549999304116,4.454299982171506,4.445849917829037,1.0,2,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q2_all_users,22.0176617000252,2,2,0,0.09083616722105013,8893.855649977922,8916.561075043865,8918.579335049726,8893.855649977922,8893.855649977922,8893.446349946316,8870.694746496156,10000.0,20000,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q3_user_by_login,22.0176617000252,2,2,0,0.09083616722105013,6.189200095832348,7.069310091901571,7.147542091552168,6.189200095832348,6.189200095832348,6.187100079841912,6.178150011692196,1.0,2,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q4_sellers_rating,22.0176617000252,2,2,0,0.09083616722105013,212.3930499656126,227.1210549515672,228.43021095031872,212.3930499656126,212.3930499656126,212.32429996598512,210.90045000892133,100.0,200,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q5_orders_offset,22.0176617000252,2,2,0,0.09083616722105013,512.0883000199683,531.0273600101937,532.7108320093248,512.0883000199683,512.0883000199683,511.627150059212,507.32490030350164,50.0,100,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q6_products_by_seller,22.0176617000252,2,2,0,0.09083616722105013,9.232099924702197,14.204149908619002,14.646109907189384,9.232099924702197,9.232099924702197,9.23019996844232,9.218749939464033,1.0,2,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q7_products_join_sellers,22.0176617000252,2,2,0,0.09083616722105013,8.804899989627302,12.78515001758933,13.138950020074844,8.804899989627302,8.804899989627302,8.802599972113967,8.781900047324598,1.0,2,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q8_order_items_join_products,22.0176617000252,2,2,0,0.09083616722105013,15.344800020102412,15.458289993694052,15.468377991346642,15.344800020102412,15.344800020102412,15.342500060796738,15.320800011977553,2.0,4,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,warmup,client,q9_orders_items_products_by_user,22.0176617000252,2,2,0,0.09083616722105013,17.17255002586171,31.64198508602567,32.92815709137358,17.17255002586171,17.17255002586171,17.170350009109825,17.147099890280515,2.0,4,21.693333333333335,34.15,1.8966666666666667,1.92,2147483648.0,12170000.0,19440000.0,0.0,0.0
redis,benchmark,client,q10_top_sellers_qty,88.88399689993821,10,10,0,0.11250619176427867,32290.62864993466,33456.46106999484,33512.24645401933,31215.105429978576,31215.105429978576,31213.807749992702,31046.118640643544,20.0,200,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q11_top_categories,88.88399689993821,10,10,0,0.11250619176427867,21592.186450085137,22071.852540032705,22164.650748091517,21187.621180026326,21187.621180026326,21187.105380010325,21131.30763740046,10.0,100,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q1_user_by_id,88.88399689993821,10,10,0,0.11250619176427867,1.6296000103466213,7.335450028767802,9.6484499971848,2.739630010910332,2.739630010910332,2.7373900054953992,2.729130000807345,1.0,10,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q2_all_users,88.88399689993821,10,10,0,0.11250619176427867,11137.341600027867,11583.46357497503,11688.18847494782,11152.775390003808,11152.775390003808,11152.285339997616,11130.027459608391,10000.0,100000,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q3_user_by_login,88.88399689993821,10,10,0,0.11250619176427867,2.7113499818369746,7.347095001023262,7.687259034719318,3.6653900053352118,3.6653900053352118,3.6631000111810863,3.6535800201818347,1.0,10,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q4_sellers_rating,88.88399689993821,10,10,0,0.11250619176427867,121.51929998071864,184.50816500117068,192.90995302260853,134.1799899819307,134.1799899819307,134.10351999336854,132.79766001505777,100.0,1000,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q5_orders_offset,88.88399689993821,10,10,0,0.11250619176427867,357.175900018774,500.9538350393995,508.05436700116843,382.39516001194715,382.39516001194715,381.923839985393,377.30123008368537,50.0,500,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q6_products_by_seller,88.88399689993821,10,10,0,0.11250619176427867,3.1921000336296856,8.68602505652233,11.672405039425941,3.756960027385503,3.756960027385503,3.755020012613386,3.7466200185008347,0.9,9,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
redis,benchmark,client,q7_products_join_sellers,88.88399689993821,10,10,0,0.11250619176427867,3.6730499123223126,10.424255084944878,13.84645107551478,4.726580006536096,4.726580006536096,4.724020010326058,4.71388001460582,0.9,9,30.126470588235293,46.34,1.9044117647058822,1.98,2147483648.0,64500000.0,115000000.0,0.0,16995900.0
