db,phase,metric_mode,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_metric_ms,avg_client_ms,avg_server_ms,avg_redis_exec_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,redis.exec,q10_top_sellers_qty,21.976119000115432,2,2,0,0.0910078799623125,21437.369192717597,21557.19204619527,21567.842966504395,21437.369192717597,21590.595549962018,21589.25179997459,21437.369192717597,20.0,40,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q11_top_categories,21.976119000115432,2,2,0,0.0910078799623125,15395.331447478384,15399.409210053273,15399.771677837707,15395.331447478384,15446.142049971968,15445.693249988835,15395.331447478384,10.0,20,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q1_user_by_id,21.976119000115432,2,2,0,0.0910078799623125,4.8590999795123935,6.629219942260534,6.786563938949257,4.8590999795123935,4.869900003541261,4.867600044235587,4.8590999795123935,1.0,2,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q2_all_users,21.976119000115432,2,2,0,0.0910078799623125,8878.507946850732,8903.414502018131,8905.628418033011,8878.507946850732,8899.468149931636,8899.04959994601,8878.507946850732,10000.0,20000,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q3_user_by_login,21.976119000115432,2,2,0,0.0910078799623125,6.87920005293563,9.255289967404678,9.466497959801927,6.87920005293563,6.89164997311309,6.889600015711039,6.87920005293563,1.0,2,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q4_sellers_rating,21.976119000115432,2,2,0,0.0910078799623125,201.06489985482767,210.86904996191151,211.74052997143008,201.06489985482767,202.53110001794994,202.4572000373155,201.06489985482767,100.0,200,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q5_orders_offset,21.976119000115432,2,2,0,0.0910078799623125,496.65689998073503,501.01776013034396,501.40539214364253,496.65689998073503,501.34379998780787,500.9184000082314,496.65689998073503,50.0,100,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q6_products_by_seller,21.976119000115432,2,2,0,0.0910078799623125,7.685399963520467,12.075779971200973,12.466035971883684,7.685399963520467,7.696549990214407,7.69475003471598,7.685399963520467,1.0,2,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q7_products_join_sellers,21.976119000115432,2,2,0,0.0910078799623125,9.739650005940348,13.445625040913,13.775045044021681,9.739650005940348,9.754050057381392,9.751700039487332,9.739650005940348,1.0,2,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
redis,warmup,redis.exec,q8_order_items_join_products,21.976119000115432,2,2,0,0.0910078799623125,13.378550065681338,15.385324996896088,15.563704990781844,13.378550065681338,13.405749981757253,13.403649965766817,13.378550065681338,2.0,4,21.673333333333332,33.83,1.8044444444444447,1.82,2147483648.0,12190000.0,19470000.0,0.0,0.0
