timestamp_utc,phase,cpu_percent,mem_percent,mem_used_bytes,mem_limit_bytes,net_in_bytes,net_out_bytes,block_in_bytes,block_out_bytes,cpu_raw,mem_raw,net_raw,block_raw
2026-03-26T09:43:22.343968+00:00,warmup,15.39,1.82,39048970.24,2147483648.0,1690000.0,7200000.0,27300000.0,4100.0,15.39%,37.24MiB / 2GiB,1.69MB / 7.2MB,27.3MB / 4.1kB
2026-03-26T09:43:24.776049+00:00,warmup,15.07,1.82,39080427.52,2147483648.0,2730000.0,9290000.0,27300000.0,4100.0,15.07%,37.27MiB / 2GiB,2.73MB / 9.29MB,27.3MB / 4.1kB
2026-03-26T09:43:27.216152+00:00,warmup,14.78,1.81,38776340.48,2147483648.0,4110000.0000000005,12000000.0,27300000.0,4100.0,14.78%,36.98MiB / 2GiB,4.11MB / 12MB,27.3MB / 4.1kB
2026-03-26T09:43:30.217529+00:00,warmup,12.53,1.81,38786826.24,2147483648.0,5050000.0,13400000.0,27300000.0,4100.0,12.53%,36.99MiB / 2GiB,5.05MB / 13.4MB,27.3MB / 4.1kB
2026-03-26T09:43:32.617904+00:00,warmup,12.69,1.81,38776340.48,2147483648.0,5940000.0,14500000.0,27300000.0,4100.0,12.69%,36.98MiB / 2GiB,5.94MB / 14.5MB,27.3MB / 4.1kB
2026-03-26T09:43:35.016033+00:00,warmup,12.0,1.82,39017512.96,2147483648.0,6760000.0,15500000.0,27300000.0,4100.0,12.00%,37.21MiB / 2GiB,6.76MB / 15.5MB,27.3MB / 4.1kB
2026-03-26T09:43:37.419034+00:00,warmup,10.81,1.82,39027998.72,2147483648.0,7410000.0,16399999.999999998,27300000.0,4100.0,10.81%,37.22MiB / 2GiB,7.41MB / 16.4MB,27.3MB / 4.1kB
2026-03-26T09:43:40.416259+00:00,warmup,0.44,1.81,38765854.72,2147483648.0,7710000.0,16800000.0,27300000.0,4100.0,0.44%,36.97MiB / 2GiB,7.71MB / 16.8MB,27.3MB / 4.1kB
2026-03-26T09:43:41.823142+00:00,benchmark,21.41,1.82,39059456.0,2147483648.0,8830000.0,21000000.0,27300000.0,4100.0,21.41%,37.25MiB / 2GiB,8.83MB / 21MB,27.3MB / 4.1kB
2026-03-26T09:43:44.818004+00:00,benchmark,20.48,1.81,38818283.52,2147483648.0,10300000.0,24500000.0,27300000.0,4100.0,20.48%,37.02MiB / 2GiB,10.3MB / 24.5MB,27.3MB / 4.1kB
2026-03-26T09:43:47.234952+00:00,benchmark,21.23,1.82,39069941.76,2147483648.0,12100000.0,28800000.0,27300000.0,4100.0,21.23%,37.26MiB / 2GiB,12.1MB / 28.8MB,27.3MB / 4.1kB
2026-03-26T09:43:50.237800+00:00,benchmark,21.53,1.82,39017512.96,2147483648.0,13600000.0,32200000.000000004,27300000.0,4100.0,21.53%,37.21MiB / 2GiB,13.6MB / 32.2MB,27.3MB / 4.1kB
2026-03-26T09:43:52.650893+00:00,benchmark,22.56,1.83,39290142.72,2147483648.0,15200000.0,34100000.0,27300000.0,4100.0,22.56%,37.47MiB / 2GiB,15.2MB / 34.1MB,27.3MB / 4.1kB
2026-03-26T09:43:55.070516+00:00,benchmark,26.02,1.83,39290142.72,2147483648.0,16800000.0,36300000.0,27300000.0,4100.0,26.02%,37.47MiB / 2GiB,16.8MB / 36.3MB,27.3MB / 4.1kB
2026-03-26T09:43:57.486152+00:00,benchmark,20.18,1.82,39038484.48,2147483648.0,18600000.0,39600000.0,27300000.0,4100.0,20.18%,37.23MiB / 2GiB,18.6MB / 39.6MB,27.3MB / 4.1kB
2026-03-26T09:44:00.485631+00:00,benchmark,21.28,1.82,39048970.24,2147483648.0,20100000.0,42300000.0,27300000.0,4100.0,21.28%,37.24MiB / 2GiB,20.1MB / 42.3MB,27.3MB / 4.1kB
2026-03-26T09:44:02.906803+00:00,benchmark,32.27,1.81,38870712.32,2147483648.0,21400000.0,46100000.0,27300000.0,4100.0,32.27%,37.07MiB / 2GiB,21.4MB / 46.1MB,27.3MB / 4.1kB
2026-03-26T09:44:05.322662+00:00,benchmark,20.86,1.81,38807797.76,2147483648.0,22900000.0,48800000.0,27300000.0,4100.0,20.86%,37.01MiB / 2GiB,22.9MB / 48.8MB,27.3MB / 4.1kB
2026-03-26T09:44:07.736460+00:00,benchmark,21.66,1.82,39059456.0,2147483648.0,24700000.0,52200000.0,27300000.0,4100.0,21.66%,37.25MiB / 2GiB,24.7MB / 52.2MB,27.3MB / 4.1kB
2026-03-26T09:44:10.751677+00:00,benchmark,27.21,1.82,39017512.96,2147483648.0,26200000.0,55900000.0,27300000.0,4100.0,27.21%,37.21MiB / 2GiB,26.2MB / 55.9MB,27.3MB / 4.1kB
2026-03-26T09:44:13.166509+00:00,benchmark,22.4,1.81,38818283.52,2147483648.0,27800000.0,57800000.0,27300000.0,4100.0,22.40%,37.02MiB / 2GiB,27.8MB / 57.8MB,27.3MB / 4.1kB
2026-03-26T09:44:15.586726+00:00,benchmark,23.2,1.87,40066088.96,2147483648.0,29300000.0,59700000.0,27300000.0,4100.0,23.20%,38.21MiB / 2GiB,29.3MB / 59.7MB,27.3MB / 4.1kB
2026-03-26T09:44:18.053114+00:00,benchmark,19.85,1.8,38556139.52,2147483648.0,31000000.0,62700000.0,27300000.0,17000000.0,19.85%,36.77MiB / 2GiB,31MB / 62.7MB,27.3MB / 17MB
2026-03-26T09:44:21.052989+00:00,benchmark,20.92,1.81,38807797.76,2147483648.0,32500000.0,65300000.0,27300000.0,17000000.0,20.92%,37.01MiB / 2GiB,32.5MB / 65.3MB,27.3MB / 17MB
2026-03-26T09:44:23.487723+00:00,benchmark,19.95,1.82,39048970.24,2147483648.0,33800000.0,67900000.0,27300000.0,17000000.0,19.95%,37.24MiB / 2GiB,33.8MB / 67.9MB,27.3MB / 17MB
2026-03-26T09:44:25.937055+00:00,benchmark,15.98,1.81,38818283.52,2147483648.0,35100000.0,70900000.0,27300000.0,17000000.0,15.98%,37.02MiB / 2GiB,35.1MB / 70.9MB,27.3MB / 17MB
2026-03-26T09:44:28.337217+00:00,benchmark,15.52,1.82,39059456.0,2147483648.0,36600000.0,72700000.0,27300000.0,17000000.0,15.52%,37.25MiB / 2GiB,36.6MB / 72.7MB,27.3MB / 17MB
2026-03-26T09:44:31.336958+00:00,benchmark,15.23,1.83,39311114.24,2147483648.0,37700000.0,74100000.0,27300000.0,17000000.0,15.23%,37.49MiB / 2GiB,37.7MB / 74.1MB,27.3MB / 17MB
2026-03-26T09:44:33.753001+00:00,benchmark,12.45,1.82,39069941.76,2147483648.0,38600000.0,75200000.0,27300000.0,17000000.0,12.45%,37.26MiB / 2GiB,38.6MB / 75.2MB,27.3MB / 17MB
2026-03-26T09:44:36.153103+00:00,benchmark,12.61,1.83,39321600.0,2147483648.0,39500000.0,76200000.0,27300000.0,17000000.0,12.61%,37.5MiB / 2GiB,39.5MB / 76.2MB,27.3MB / 17MB
