phase,metric_mode,request_index,query_name,sql,client_time_ms,server_time_ms,redis_exec_ms,rows_returned,ok,error
warmup,client,0,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,3.949000034481287,3.9461000123992562,3.9369999431073666,1,True,
warmup,client,2,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,4.513600026257336,4.511000006459653,4.49799990747124,1,True,
warmup,client,5,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,3.5692000528797507,3.567200037650764,3.555899951606989,1,True,
warmup,client,6,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",6.182300043292344,6.180000025779009,6.16769993212074,1,True,
warmup,client,7,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",3.2284000189974904,3.226200002245605,3.21339990478009,1,True,
warmup,client,8,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",9.589600027538836,9.586800006218255,9.552799980156124,4,True,
warmup,client,3,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,119.2397999111563,119.17720001656562,117.87739908322692,100,True,
warmup,client,4,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,300.7970000617206,300.39119999855757,296.11750005278736,50,True,
warmup,client,1,q2_all_users,SELECT * FROM Users;,7176.238999934867,7175.8591999532655,7155.617004376836,10000,True,
warmup,client,10,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",13241.825300035998,13241.441300022416,13194.35510376934,10,True,
warmup,client,9,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",18376.07230001595,18374.886500067078,18224.82229140587,20,True,
benchmark,client,0,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,5.139999906532466,5.1380000077188015,5.129200057126582,1,True,
benchmark,client,1,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,4.582099965773523,4.580100066959858,4.571800003759563,1,True,
benchmark,client,4,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,1.0368999792262912,1.0351999662816525,1.0150999296456575,1,True,
benchmark,client,3,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,4.288700059987605,4.2863000417128205,4.276899970136583,1,True,
benchmark,client,2,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,3.989199991337955,3.9872999768704176,3.979999921284616,1,True,
benchmark,client,2,q2_all_users,SELECT * FROM Users;,7628.9881999837235,7628.57819988858,7608.551400946453,10000,True,
benchmark,client,1,q2_all_users,SELECT * FROM Users;,7658.531299908645,7658.131300006062,7637.344703194685,10000,True,
benchmark,client,0,q2_all_users,SELECT * FROM Users;,7732.781499973498,7732.3546999832615,7712.301299674436,10000,True,
benchmark,client,3,q2_all_users,SELECT * FROM Users;,7754.183599958196,7753.729599993676,7732.669904595241,10000,True,
benchmark,client,4,q2_all_users,SELECT * FROM Users;,5078.290599980392,5077.889900072478,5059.667301364243,10000,True,
benchmark,client,0,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,7.1471999399363995,7.145099923945963,7.135300082154572,1,True,
benchmark,client,1,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,6.8434999557211995,6.840899935923517,6.832099985331297,1,True,
benchmark,client,2,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,6.135300034657121,6.133400020189583,6.125199957750738,1,True,
benchmark,client,4,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,2.4372999323531985,2.4355000350624323,2.4283999809995294,1,True,
benchmark,client,3,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,5.569499917328358,5.567200016230345,5.559499957598746,1,True,
benchmark,client,0,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,129.38389996998012,129.29940002504736,127.72970111109316,100,True,
benchmark,client,3,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,125.03410002682358,124.9579000286758,123.32439993042499,100,True,
benchmark,client,1,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,131.44479994662106,131.36729993857443,130.07210020441562,100,True,
benchmark,client,2,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,133.46559996716678,133.39309999719262,132.03859922941774,100,True,
benchmark,client,4,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,54.069100064225495,53.98540000896901,52.74559941608459,100,True,
benchmark,client,2,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,314.59550000727177,314.15330001618713,309.7258002962917,50,True,
benchmark,client,3,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,319.28669998887926,318.68210004176944,314.3747996073216,50,True,
benchmark,client,0,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,322.7666999446228,322.3186999093741,317.94479966629297,50,True,
benchmark,client,1,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,324.2356999544427,323.8050000509247,319.53150033950806,50,True,
benchmark,client,4,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,207.39330002106726,207.0102000143379,202.63960014563054,50,True,
benchmark,client,0,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,5.679399939253926,5.677400040440261,5.667199962772429,1,True,
benchmark,client,4,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,0.8022000547498465,0.8006000425666571,0.7948999991640449,0,True,
benchmark,client,1,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,5.975499982014298,5.973599967546761,5.965299904346466,1,True,
benchmark,client,2,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,5.288299988023937,5.28660009149462,5.279500037431717,1,True,
benchmark,client,3,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,5.414200015366077,5.412600003182888,5.402500042691827,2,True,
benchmark,client,0,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",7.547099958173931,7.544900057837367,7.531999959610403,1,True,
benchmark,client,1,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",7.123199990019202,7.1208999725058675,7.082400028593838,1,True,
benchmark,client,2,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",6.720400066114962,6.717800046317279,6.67749997228384,1,True,
benchmark,client,4,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",3.1020999886095524,3.1003999756649137,3.093099920079112,0,True,
benchmark,client,3,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",7.520299986936152,7.517899968661368,7.506699883379042,2,True,
benchmark,client,0,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",8.769900072366,8.767500054091215,8.736499934457242,1,True,
