phase,request_index,query_name,server_time_ms,rows_returned,ok,error
warmup,0,q1_user_by_id,nan,1,True,
warmup,1,q2_all_users,4.01,10023,True,
warmup,2,q3_user_by_login,0.0,1,True,
warmup,3,q4_sellers_rating,1.07,100,True,
warmup,4,q5_orders_offset,2.4,50,True,
warmup,5,q6_products_by_seller,0.489,1,True,
warmup,6,q7_products_join_sellers,0.0139,1,True,
warmup,7,q8_order_items_join_products,0.537,1,True,
warmup,8,q9_orders_items_products_by_user,0.0501,3,True,
warmup,9,q10_top_sellers_qty,71.3,20,True,
warmup,10,q11_top_categories,3.54,10,True,
benchmark,0,q1_user_by_id,nan,1,True,
benchmark,1,q1_user_by_id,100.0,1,True,
benchmark,2,q1_user_by_id,nan,1,True,
benchmark,0,q2_all_users,3.88,10023,True,
benchmark,1,q2_all_users,3.91,10023,True,
benchmark,2,q2_all_users,3.95,10023,True,
benchmark,0,q3_user_by_login,nan,1,True,
benchmark,1,q3_user_by_login,0.0,1,True,
benchmark,2,q3_user_by_login,nan,1,True,
benchmark,0,q4_sellers_rating,0.158,100,True,
benchmark,1,q4_sellers_rating,0.154,100,True,
benchmark,2,q4_sellers_rating,0.159,100,True,
benchmark,0,q5_orders_offset,1.91,50,True,
benchmark,1,q5_orders_offset,1.85,50,True,
benchmark,2,q5_orders_offset,1.82,50,True,
benchmark,0,q6_products_by_seller,0.0148,1,True,
benchmark,1,q6_products_by_seller,0.019,1,True,
benchmark,2,q6_products_by_seller,0.0178,1,True,
benchmark,0,q7_products_join_sellers,0.0205,1,True,
benchmark,1,q7_products_join_sellers,0.0094,1,True,
benchmark,2,q7_products_join_sellers,0.0102,1,True,
benchmark,0,q8_order_items_join_products,0.015,1,True,
benchmark,1,q8_order_items_join_products,0.0305,3,True,
benchmark,2,q8_order_items_join_products,0.0281,4,True,
benchmark,0,q9_orders_items_products_by_user,0.0342,3,True,
benchmark,1,q9_orders_items_products_by_user,0.0078,3,True,
benchmark,2,q9_orders_items_products_by_user,0.0348,3,True,
benchmark,0,q10_top_sellers_qty,60.8,20,True,
benchmark,1,q10_top_sellers_qty,69.0,20,True,
benchmark,2,q10_top_sellers_qty,84.4,20,True,
benchmark,0,q11_top_categories,3.75,10,True,
benchmark,1,q11_top_categories,3.75,10,True,
benchmark,2,q11_top_categories,3.76,10,True,
