db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,server_p50_ms,server_p95_ms,server_p99_ms,server_avg_ms,avg_rows_returned,total_rows_returned
mysql,warmup,q10_top_sellers_qty,0.123412000015378,1,1,0,8.102939745530362,71.3,71.3,71.3,71.3,20.0,20
mysql,warmup,q11_top_categories,0.123412000015378,1,1,0,8.102939745530362,3.54,3.54,3.54,3.54,10.0,10
mysql,warmup,q1_user_by_id,0.123412000015378,1,1,0,8.102939745530362,nan,nan,nan,nan,1.0,1
mysql,warmup,q2_all_users,0.123412000015378,1,1,0,8.102939745530362,4.01,4.01,4.01,4.01,10023.0,10023
mysql,warmup,q3_user_by_login,0.123412000015378,1,1,0,8.102939745530362,0.0,0.0,0.0,0.0,1.0,1
mysql,warmup,q4_sellers_rating,0.123412000015378,1,1,0,8.102939745530362,1.07,1.07,1.07,1.07,100.0,100
mysql,warmup,q5_orders_offset,0.123412000015378,1,1,0,8.102939745530362,2.4,2.4,2.4,2.4,50.0,50
mysql,warmup,q6_products_by_seller,0.123412000015378,1,1,0,8.102939745530362,0.489,0.489,0.489,0.489,1.0,1
mysql,warmup,q7_products_join_sellers,0.123412000015378,1,1,0,8.102939745530362,0.0139,0.0139,0.0139,0.0139,1.0,1
mysql,warmup,q8_order_items_join_products,0.123412000015378,1,1,0,8.102939745530362,0.537,0.537,0.537,0.537,1.0,1
mysql,warmup,q9_orders_items_products_by_user,0.123412000015378,1,1,0,8.102939745530362,0.0501,0.0501,0.0501,0.0501,3.0,3
mysql,benchmark,q1_user_by_id,0.002069299924187362,3,3,0,1449.765674339419,100.0,100.0,100.0,100.0,1.0,3
mysql,benchmark,q2_all_users,0.017565200105309486,3,3,0,170.7922472851978,3.91,3.946,3.9492000000000003,3.9133333333333336,10023.0,30069
mysql,benchmark,q3_user_by_login,0.002120699966326356,3,3,0,1414.6272681829844,0.0,0.0,0.0,0.0,1.0,3
mysql,benchmark,q4_sellers_rating,0.0027891999343410134,3,3,0,1075.577251764417,0.158,0.15889999999999999,0.15897999999999998,0.157,100.0,300
mysql,benchmark,q5_orders_offset,0.008688999922014773,3,3,0,345.264130156002,1.85,1.904,1.9087999999999998,1.86,50.0,150
mysql,benchmark,q6_products_by_seller,0.003703500027768314,3,3,0,810.0445463767865,0.0178,0.018879999999999997,0.018975999999999996,0.0172,1.0,3
mysql,benchmark,q7_products_join_sellers,0.002978599979542196,3,3,0,1007.184590278918,0.0102,0.019469999999999998,0.020294,0.013366666666666667,1.0,3
mysql,benchmark,q8_order_items_join_products,0.004249499994330108,3,3,0,705.9654086369567,0.0281,0.03026,0.030452,0.024533333333333334,2.6666666666666665,8
mysql,benchmark,q9_orders_items_products_by_user,0.0047129999147728086,3,3,0,636.5372489391644,0.0342,0.03474,0.034788,0.025599999999999998,3.0,9
mysql,benchmark,q10_top_sellers_qty,0.22087249998003244,3,3,0,13.582496690494331,69.0,82.86,84.092,71.39999999999999,20.0,60
mysql,benchmark,q11_top_categories,0.01748899999074638,3,3,0,171.5363943957535,3.75,3.759,3.7598,3.7533333333333334,10.0,30
