db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,server_p50_ms,server_p95_ms,server_p99_ms,server_avg_ms,avg_rows_returned,total_rows_returned
mysql,warmup,q10_top_sellers_qty,1.6691190999699757,18,18,0,10.784131581936716,63.15,72.92999999999999,75.78599999999999,65.01666666666667,20.0,360
mysql,warmup,q11_top_categories,1.6691190999699757,18,18,0,10.784131581936716,3.59,3.7415000000000003,3.7483,3.5944444444444446,10.0,180
mysql,warmup,q1_user_by_id,1.6691190999699757,19,19,0,11.383250003155421,50.00795,100.0,100.0,50.00159,1.0,19
mysql,warmup,q2_all_users,1.6691190999699757,19,19,0,11.383250003155421,4.17,4.802,4.9604,4.259473684210526,10023.0,190437
mysql,warmup,q3_user_by_login,1.6691190999699757,18,18,0,10.784131581936716,100.0,100.0,100.0,62.5,1.0,18
mysql,warmup,q4_sellers_rating,1.6691190999699757,18,18,0,10.784131581936716,0.164,0.1782,0.18364,0.16422222222222221,100.0,1800
mysql,warmup,q5_orders_offset,1.6691190999699757,18,18,0,10.784131581936716,1.915,2.0415,2.0483,1.9200000000000002,50.0,900
mysql,warmup,q6_products_by_seller,1.6691190999699757,18,18,0,10.784131581936716,0.01675,0.03309999999999994,0.06165999999999993,0.019388888888888886,1.4444444444444444,26
mysql,warmup,q7_products_join_sellers,1.6691190999699757,18,18,0,10.784131581936716,0.0094,0.014275000000000001,0.014614999999999998,0.009155555555555556,1.4444444444444444,26
mysql,warmup,q8_order_items_join_products,1.6691190999699757,18,18,0,10.784131581936716,0.02855,0.039374999999999986,0.04515499999999999,0.02762222222222222,2.7222222222222223,49
mysql,warmup,q9_orders_items_products_by_user,1.6691190999699757,18,18,0,10.784131581936716,0.0314,0.05026999999999997,0.06509399999999996,0.028700000000000003,3.3333333333333335,60
mysql,benchmark,q1_user_by_id,0.8563901000889018,1000,1000,0,1167.6921532560805,0.0,100.0,100.0,37.779640370370366,1.0,1000
mysql,benchmark,q2_all_users,6.546846400015056,1000,1000,0,152.74529733853237,4.03,4.5805,5.372599999999998,4.11721,10023.0,10023000
mysql,benchmark,q3_user_by_login,0.7217436000937596,1000,1000,0,1385.5335882023658,0.0,100.0,100.0,34.045855379188716,1.0,1000
mysql,benchmark,q4_sellers_rating,1.1462995000183582,1000,1000,0,872.3723599146513,0.163,0.19304999999999997,0.20700999999999997,0.165321,100.0,100000
mysql,benchmark,q5_orders_offset,3.2640123000601307,1000,1000,0,306.3713944894073,1.9,2.12,2.5201,1.92897,50.0,50000
mysql,benchmark,q6_products_by_seller,0.9359156999271363,1000,1000,0,1068.4722994580097,0.0114,0.026004999999999997,0.037802999999999996,0.0128947,1.378,1378
mysql,benchmark,q7_products_join_sellers,0.8452333998866379,1000,1000,0,1183.1051637738396,0.0083,0.015604999999999996,0.029303999999999997,0.0085944,1.378,1378
mysql,benchmark,q8_order_items_join_products,1.3868677999125794,1000,1000,0,721.0492593908623,0.0246,0.0426,0.060001,0.025799299999999997,3.029,3029
mysql,benchmark,q9_orders_items_products_by_user,1.687596800038591,1000,1000,0,592.558601661921,0.0317,0.070015,0.096311,0.0314543,4.08,4080
mysql,benchmark,q10_top_sellers_qty,64.93215920007788,1000,1000,0,15.400689154948056,61.8,69.0,78.40700000000001,62.6872,20.0,20000
mysql,benchmark,q11_top_categories,5.510919300024398,1000,1000,0,181.45792844318603,3.61,4.0,4.431199999999999,3.6488899999999997,10.0,10000
