db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,server_p50_ms,server_p95_ms,server_p99_ms,server_avg_ms,avg_rows_returned,total_rows_returned
postgres,warmup,q10_top_sellers_qty,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q11_top_categories,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q1_user_by_id,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q2_all_users,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q3_user_by_login,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q4_sellers_rating,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q5_orders_offset,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q6_products_by_seller,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q7_products_join_sellers,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q8_order_items_join_products,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,warmup,q9_orders_items_products_by_user,0.11253819998819381,1,0,1,8.885871642739161,nan,nan,nan,nan,nan,0
postgres,benchmark,q1_user_by_id,0.008543699979782104,3,0,3,351.13592554738926,nan,nan,nan,nan,nan,0
postgres,benchmark,q2_all_users,0.0074742999859154224,3,0,3,401.37538039056534,nan,nan,nan,nan,nan,0
postgres,benchmark,q3_user_by_login,0.011408700025640428,3,0,3,262.9572162698348,nan,nan,nan,nan,nan,0
postgres,benchmark,q4_sellers_rating,0.005123000009916723,3,0,3,585.5943771604183,nan,nan,nan,nan,nan,0
postgres,benchmark,q5_orders_offset,0.008926799986511469,3,0,3,336.06667613624654,nan,nan,nan,nan,nan,0
postgres,benchmark,q6_products_by_seller,0.004381000064313412,3,0,3,684.7751554347806,nan,nan,nan,nan,nan,0
postgres,benchmark,q7_products_join_sellers,0.004897700040601194,3,0,3,612.5324080957292,nan,nan,nan,nan,nan,0
postgres,benchmark,q8_order_items_join_products,0.008263999945484102,3,0,3,363.0203315332018,nan,nan,nan,nan,nan,0
postgres,benchmark,q9_orders_items_products_by_user,0.0078041000524535775,3,0,3,384.4133186192061,nan,nan,nan,nan,nan,0
postgres,benchmark,q10_top_sellers_qty,0.06391349993646145,3,0,3,46.938440282294046,nan,nan,nan,nan,nan,0
postgres,benchmark,q11_top_categories,0.0157302999868989,3,0,3,190.7147354149999,nan,nan,nan,nan,nan,0
