phase,request_index,query_name,server_time_ms,rows_returned,ok,error
warmup,0,q1_user_by_id,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000110 user 0.000107 sys 0.000061'
warmup,1,q2_all_users,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000019 user 0.000015 sys 0.000005'
warmup,2,q3_user_by_login,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000010 user 0.000000 sys 0.000011'
warmup,3,q4_sellers_rating,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000028 user 0.000000 sys 0.000030'
warmup,4,q5_orders_offset,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000016 user 0.000012 sys 0.000005'
warmup,5,q6_products_by_seller,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000010 user 0.000000 sys 0.000011'
warmup,6,q7_products_join_sellers,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000008 user 0.000000 sys 0.000008'
warmup,7,q8_order_items_join_products,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000011 user 0.000000 sys 0.000012'
warmup,8,q9_orders_items_products_by_user,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000041 user 0.000000 sys 0.000042'
warmup,9,q10_top_sellers_qty,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000022 user 0.000015 sys 0.000008'
warmup,10,q11_top_categories,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000017 user 0.000012 sys 0.000005'
benchmark,0,q1_user_by_id,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000007 user 0.000005 sys 0.000002'
benchmark,1,q1_user_by_id,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000012 user 0.000009 sys 0.000004'
benchmark,2,q1_user_by_id,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000006 user 0.000005 sys 0.000002'
benchmark,0,q2_all_users,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000016 user 0.000017 sys 0.000000'
benchmark,1,q2_all_users,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000026 user 0.000028 sys 0.000000'
benchmark,2,q2_all_users,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000018 user 0.000014 sys 0.000004'
benchmark,0,q3_user_by_login,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000007 user 0.000006 sys 0.000002'
benchmark,1,q3_user_by_login,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000006 user 0.000005 sys 0.000001'
benchmark,2,q3_user_by_login,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000010 user 0.000008 sys 0.000002'
benchmark,0,q4_sellers_rating,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000006 user 0.000005 sys 0.000002'
benchmark,1,q4_sellers_rating,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000006 user 0.000005 sys 0.000002'
benchmark,2,q4_sellers_rating,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000011 user 0.000009 sys 0.000003'
benchmark,0,q5_orders_offset,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000009 user 0.000007 sys 0.000002'
benchmark,1,q5_orders_offset,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000026 user 0.000021 sys 0.000006'
benchmark,2,q5_orders_offset,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000025 user 0.000021 sys 0.000006'
benchmark,0,q6_products_by_seller,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000006 user 0.000006 sys 0.000002'
benchmark,1,q6_products_by_seller,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000032 user 0.000026 sys 0.000008'
benchmark,2,q6_products_by_seller,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000021 user 0.000018 sys 0.000005'
benchmark,0,q7_products_join_sellers,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000021 user 0.000020 sys 0.000006'
benchmark,1,q7_products_join_sellers,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000008 user 0.000007 sys 0.000001'
benchmark,2,q7_products_join_sellers,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000008 user 0.000008 sys 0.000002'
benchmark,0,q8_order_items_join_products,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000029 user 0.000025 sys 0.000007'
benchmark,1,q8_order_items_join_products,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000008 user 0.000006 sys 0.000002'
benchmark,2,q8_order_items_join_products,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000032 user 0.000028 sys 0.000008'
benchmark,0,q9_orders_items_products_by_user,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000033 user 0.000028 sys 0.000009'
benchmark,1,q9_orders_items_products_by_user,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000036 user 0.000030 sys 0.000008'
benchmark,2,q9_orders_items_products_by_user,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000014 user 0.000011 sys 0.000003'
benchmark,0,q10_top_sellers_qty,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000017 user 0.000014 sys 0.000005'
benchmark,1,q10_top_sellers_qty,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000021 user 0.000021 sys 0.000000'
benchmark,2,q10_top_sellers_qty,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000017 user 0.000016 sys 0.000000'
benchmark,0,q11_top_categories,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000009 user 0.000010 sys 0.000000'
benchmark,1,q11_top_categories,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000021 user 0.000019 sys 0.000003'
benchmark,2,q11_top_categories,nan,0,False,invalid literal for int() with base 10: 'Run Time: real 0.000058 user 0.000061 sys 0.000000'
